uid,age,sex,active_date,limit
70,30,1,2015/12/17,6.292054527
71,25,1,2016/4/15,6.292054527
72,35,1,2015/12/2,6.292054527
73,35,1,2016/1/28,5.97467729
74,35,1,2016/2/21,5.722768363
75,30,1,2016/6/18,6.153413856
76,35,2,2015/12/26,6.292054527
77,35,1,2016/5/4,6.292054527
78,40,1,2016/5/26,6.153413856
79,35,1,2016/2/20,5.97467729
80,35,1,2016/4/14,6.292054527
81,35,1,2016/5/19,5.292153929
82,35,1,2015/12/28,5.97467729
83,40,1,2016/4/18,5.97467729
84,35,1,2016/2/9,5.97467729
85,35,2,2016/6/28,5.292153929
86,35,1,2016/2/16,5.97467729
87,35,1,2015/12/21,5.97467729
88,50,2,2016/2/16,5.722768363
89,40,1,2015/12/11,5.722768363
90,45,1,2016/2/21,6.292054527
91,45,1,2016/5/31,5.292153929
92,30,1,2016/4/22,6.292054527
93,45,1,2015/12/12,6.292054527
94,25,1,2016/2/16,5.722768363
95,25,1,2016/4/22,6.153413856
96,30,1,2016/3/25,6.153413856
97,30,1,2016/4/19,6.153413856
98,30,1,2015/12/31,6.153413856
99,35,1,2016/5/22,5.292153929
100,25,1,2015/12/17,6.153413856
101,45,2,2016/1/28,5.97467729
102,35,1,2016/6/21,5.722768363
103,40,1,2016/1/28,5.722768363
104,30,1,2016/6/28,5.722768363
105,35,1,2016/2/29,5.292153929
106,30,1,2016/6/28,5.292153929
107,30,1,2016/2/11,5.722768363
108,35,2,2016/6/11,5.292153929
109,30,1,2016/6/29,5.292153929
110,30,1,2016/4/24,6.153413856
111,30,1,2016/2/3,6.292054527
112,45,2,2016/1/27,6.292054527
113,30,1,2016/1/2,5.292153929
114,30,1,2016/3/31,5.722768363
115,35,2,2016/1/28,6.153413856
116,45,1,2016/6/16,6.292054527
117,35,1,2016/6/18,6.292054527
118,25,1,2016/4/22,5.292153929
119,40,1,2016/3/17,5.722768363
120,35,1,2016/1/28,5.722768363
121,30,1,2016/1/19,6.292054527
122,30,1,2016/4/15,6.292054527
123,30,1,2015/12/31,5.97467729
124,35,1,2016/6/16,6.292054527
125,30,1,2016/3/19,5.722768363
126,35,1,2015/12/30,6.292054527
127,30,2,2016/6/21,5.97467729
128,40,1,2015/12/20,6.292054527
129,25,1,2016/1/27,6.292054527
130,25,1,2016/4/6,5.722768363
131,40,1,2016/2/19,5.722768363
132,35,1,2016/2/25,5.292153929
133,30,1,2015/12/28,6.292054527
134,25,1,2016/6/16,5.292153929
135,35,2,2016/1/31,5.292153929
136,35,1,2016/2/4,5.97467729
137,35,1,2016/2/13,6.153413856
138,35,1,2016/3/15,5.722768363
139,35,1,2016/5/21,6.292054527
140,30,1,2016/6/11,5.97467729
141,25,2,2016/3/12,5.97467729
142,25,1,2016/4/16,6.292054527
143,30,1,2015/12/28,6.153413856
144,35,1,2016/1/5,6.292054527
145,35,2,2016/2/16,6.292054527
146,35,1,2016/2/16,6.153413856
147,40,1,2015/12/30,5.722768363
148,25,2,2016/5/3,5.97467729
149,35,1,2016/5/24,5.292153929
150,25,1,2016/4/13,6.292054527
151,30,2,2016/5/15,5.292153929
152,30,1,2016/1/28,5.97467729
153,40,1,2016/2/22,6.153413856
154,35,1,2016/5/26,5.97467729
155,35,1,2016/3/26,6.292054527
156,30,1,2016/2/24,6.292054527
157,30,1,2015/12/17,6.292054527
158,25,1,2015/12/19,5.722768363
159,35,1,2016/4/20,5.97467729
160,30,1,2016/3/12,6.153413856
161,30,1,2016/4/19,6.292054527
162,45,1,2016/2/15,6.292054527
163,25,1,2016/4/20,5.722768363
164,35,1,2016/4/20,6.292054527
165,30,1,2016/1/28,5.292153929
166,40,1,2015/12/4,6.292054527
167,25,1,2016/6/22,5.292153929
168,30,2,2016/4/21,5.292153929
169,25,1,2016/5/22,5.292153929
170,30,1,2016/5/2,6.153413856
171,35,1,2016/4/20,5.292153929
172,35,1,2016/4/15,5.292153929
173,30,1,2016/4/16,6.292054527
174,30,1,2015/12/17,6.292054527
175,35,1,2016/3/1,5.97467729
176,30,1,2016/4/26,6.292054527
177,35,1,2016/5/11,5.97467729
178,25,1,2015/12/30,5.722768363
179,35,2,2016/6/28,6.292054527
180,45,1,2016/4/25,5.97467729
181,35,1,2016/1/30,6.153413856
182,35,1,2016/1/28,6.292054527
183,35,1,2016/4/26,5.292153929
184,30,1,2016/3/22,5.292153929
185,35,1,2016/1/1,6.153413856
186,30,2,2015/12/27,6.292054527
187,35,1,2015/12/8,6.153413856
188,30,1,2015/12/18,5.722768363
189,35,2,2016/3/29,6.292054527
190,35,1,2016/2/21,5.97467729
191,35,1,2015/12/2,6.153413856
192,35,1,2016/2/4,5.97467729
193,30,1,2016/1/28,5.292153929
194,30,1,2016/2/4,6.292054527
195,40,1,2016/2/26,5.97467729
196,35,1,2016/2/27,5.722768363
197,30,1,2016/1/28,5.97467729
198,40,1,2016/6/2,6.292054527
199,40,1,2016/3/15,6.153413856
200,25,1,2016/6/18,6.292054527
201,40,1,2016/1/28,6.292054527
202,30,1,2016/1/2,5.722768363
203,25,2,2016/5/6,5.722768363
204,30,1,2016/4/16,6.292054527
205,40,1,2015/12/10,5.722768363
206,40,1,2016/3/2,5.97467729
207,40,1,2016/3/29,5.722768363
208,30,1,2016/3/25,5.292153929
209,35,1,2016/3/29,5.722768363
210,30,1,2015/12/30,6.292054527
211,30,1,2016/6/30,6.292054527
212,30,2,2015/12/28,6.292054527
213,30,1,2016/1/16,5.722768363
214,30,2,2016/6/20,6.153413856
215,40,1,2016/3/10,5.722768363
216,30,2,2016/3/17,5.292153929
217,35,1,2016/3/29,5.292153929
218,30,2,2016/2/4,5.722768363
219,35,2,2016/1/10,6.292054527
220,35,1,2016/1/5,5.722768363
221,35,1,2016/2/16,5.97467729
222,35,1,2016/2/8,5.97467729
223,35,2,2016/2/1,5.97467729
224,30,1,2016/4/3,5.292153929
225,30,1,2016/2/2,6.292054527
226,30,1,2016/5/14,5.292153929
227,30,2,2016/2/16,5.97467729
228,35,2,2016/1/28,5.722768363
229,35,1,2016/4/28,6.292054527
230,30,2,2016/2/14,5.722768363
231,40,1,2016/2/27,5.292153929
232,30,1,2015/12/17,6.292054527
233,25,1,2016/2/17,5.97467729
234,40,1,2016/4/16,5.97467729
235,25,1,2015/12/26,5.722768363
236,30,1,2016/2/14,5.722768363
237,35,1,2015/12/15,5.722768363
238,45,1,2016/3/29,5.292153929
239,35,1,2016/6/18,6.292054527
240,25,1,2016/6/30,5.292153929
241,35,1,2016/1/18,5.722768363
242,35,1,2016/3/13,6.292054527
243,30,1,2016/3/15,5.292153929
244,30,1,2016/2/16,5.97467729
245,40,1,2016/5/21,6.292054527
246,50,1,2016/3/5,5.97467729
247,35,1,2016/4/14,6.153413856
248,30,1,2016/6/16,6.292054527
249,50,1,2016/4/2,6.153413856
250,35,1,2016/4/15,5.722768363
251,25,1,2016/6/8,5.292153929
252,30,2,2016/2/15,5.97467729
253,40,1,2016/3/21,5.722768363
254,45,2,2016/1/14,5.722768363
255,30,1,2016/4/26,5.292153929
256,30,2,2016/3/23,6.153413856
257,35,1,2016/2/16,5.722768363
258,30,1,2016/4/15,6.292054527
259,30,1,2016/2/16,5.722768363
260,30,1,2016/6/21,5.97467729
261,35,1,2016/6/16,6.292054527
262,30,1,2016/3/16,5.722768363
263,30,1,2016/4/24,5.722768363
264,35,1,2016/1/28,6.292054527
265,30,1,2016/1/11,5.722768363
266,30,1,2016/3/17,5.292153929
267,35,2,2016/2/2,5.97467729
268,35,1,2016/1/1,6.292054527
269,35,1,2016/2/6,5.722768363
270,30,1,2015/12/8,6.292054527
271,30,2,2016/2/6,5.722768363
272,30,1,2016/3/23,5.292153929
273,40,1,2016/4/26,6.292054527
274,30,1,2016/5/21,5.97467729
275,35,1,2016/6/16,5.97467729
276,40,2,2016/3/23,6.153413856
277,40,1,2016/1/28,5.97467729
278,50,1,2016/5/13,5.97467729
279,35,1,2016/2/12,6.292054527
280,30,1,2015/12/2,6.292054527
281,30,1,2016/6/23,6.292054527
282,35,2,2016/3/7,5.97467729
283,35,2,2016/2/26,6.153413856
284,25,1,2016/6/16,6.292054527
285,30,1,2016/4/20,6.292054527
286,25,1,2016/2/14,5.97467729
287,35,1,2016/5/10,5.292153929
288,35,1,2016/2/16,5.292153929
289,30,1,2016/6/28,5.97467729
290,25,2,2016/6/21,5.292153929
291,35,2,2016/6/21,5.722768363
292,30,1,2016/6/27,5.722768363
293,50,1,2016/1/29,5.722768363
294,30,1,2015/12/16,6.153413856
295,30,1,2016/1/1,5.97467729
296,30,1,2016/2/12,5.292153929
297,45,1,2016/3/15,5.722768363
298,30,1,2016/1/28,5.292153929
299,40,1,2016/2/6,6.153413856
300,40,1,2016/1/29,5.292153929
301,35,1,2016/2/16,5.292153929
302,35,1,2016/5/21,5.722768363
303,45,1,2016/1/28,5.292153929
304,35,1,2016/2/16,6.292054527
305,35,2,2016/6/22,5.292153929
306,45,1,2016/6/9,6.153413856
307,50,1,2016/1/2,6.292054527
308,30,1,2015/12/5,6.292054527
309,25,1,2016/4/2,5.722768363
310,35,1,2016/1/30,5.722768363
311,30,1,2016/3/30,6.153413856
312,35,1,2016/4/14,6.292054527
313,35,1,2016/4/20,5.722768363
314,30,1,2015/12/18,6.292054527
315,45,1,2016/4/19,5.722768363
316,25,1,2016/1/28,5.292153929
317,30,1,2016/4/15,6.292054527
318,30,1,2016/6/16,5.97467729
319,35,1,2015/12/13,5.97467729
320,45,1,2016/2/19,6.292054527
321,25,1,2016/5/20,5.292153929
322,40,2,2016/4/29,6.292054527
323,25,2,2016/6/8,6.153413856
324,35,1,2016/3/22,6.153413856
325,30,1,2016/6/18,6.292054527
326,35,1,2016/1/29,6.292054527
327,30,2,2016/5/7,5.292153929
328,40,1,2016/3/23,6.292054527
329,30,1,2016/5/11,6.292054527
330,30,1,2016/3/10,5.292153929
331,35,2,2016/5/3,6.292054527
332,35,1,2016/1/23,5.722768363
333,35,1,2016/2/17,5.97467729
334,25,1,2016/6/20,6.292054527
335,25,2,2016/1/28,5.97467729
336,40,1,2016/4/13,6.292054527
337,30,1,2016/3/16,5.722768363
338,30,1,2016/5/21,5.722768363
339,35,1,2016/4/20,6.292054527
340,25,1,2016/3/18,5.292153929
341,25,2,2016/3/25,5.97467729
342,35,1,2016/4/7,6.153413856
343,35,1,2016/3/12,5.722768363
344,30,1,2016/2/11,5.292153929
345,25,1,2016/6/15,5.292153929
346,25,1,2016/6/15,5.292153929
347,30,2,2016/4/25,6.153413856
348,40,1,2016/3/21,5.97467729
349,35,2,2016/6/4,5.292153929
350,30,1,2016/3/10,6.153413856
351,35,2,2016/6/27,6.153413856
352,40,1,2016/3/20,5.97467729
353,40,1,2016/1/28,5.722768363
354,25,1,2016/6/22,6.292054527
355,30,1,2016/4/21,6.292054527
356,40,1,2016/4/25,5.292153929
357,45,1,2016/4/22,6.292054527
358,35,1,2016/1/28,6.153413856
359,40,1,2016/2/17,5.722768363
360,25,1,2016/5/29,5.292153929
361,40,1,2015/12/17,6.292054527
362,25,1,2016/6/24,5.292153929
363,35,1,2016/6/24,6.292054527
364,35,1,2015/12/2,6.292054527
365,30,1,2016/3/16,5.722768363
366,40,1,2015/12/29,5.722768363
367,35,1,2016/4/22,6.153413856
368,25,1,2016/4/15,6.153413856
369,30,1,2016/6/18,6.292054527
370,35,2,2016/4/12,5.722768363
371,45,1,2016/6/4,6.292054527
372,30,2,2016/5/31,5.722768363
373,35,1,2015/12/23,5.97467729
374,35,1,2016/5/5,5.97467729
375,35,1,2016/4/29,5.722768363
376,30,1,2015/12/30,5.722768363
377,40,1,2016/4/19,5.292153929
378,35,1,2016/5/23,5.97467729
379,40,1,2016/6/16,6.292054527
380,25,1,2016/3/26,5.292153929
381,25,1,2016/5/6,5.292153929
382,35,1,2016/4/23,6.153413856
383,40,2,2015/12/2,6.292054527
384,35,2,2016/1/30,6.153413856
385,30,1,2016/1/10,5.722768363
386,45,1,2016/5/25,6.153413856
387,40,1,2016/3/23,5.722768363
388,25,1,2016/4/13,5.97467729
389,30,1,2016/2/16,6.292054527
390,35,1,2016/1/26,5.97467729
391,30,1,2015/12/6,6.153413856
392,30,1,2015/12/30,5.722768363
393,35,1,2015/12/8,6.153413856
394,35,1,2016/4/26,6.153413856
395,35,2,2016/4/28,5.97467729
396,30,2,2016/5/3,5.292153929
397,30,1,2015/12/2,5.722768363
398,30,1,2016/6/13,5.292153929
399,40,1,2016/5/24,5.97467729
400,45,1,2016/5/30,5.97467729
401,25,1,2016/2/2,5.292153929
402,25,1,2015/12/31,5.292153929
403,30,1,2016/1/3,6.292054527
404,35,1,2016/4/15,6.292054527
405,30,1,2016/2/5,5.97467729
406,45,1,2016/3/11,5.722768363
407,30,2,2016/3/23,5.292153929
408,30,1,2015/12/13,6.292054527
409,35,1,2016/6/21,5.97467729
410,35,1,2016/2/3,5.97467729
411,35,1,2016/3/31,5.722768363
412,25,1,2016/6/13,5.292153929
413,25,1,2016/2/8,5.292153929
414,35,1,2016/5/21,5.292153929
415,40,1,2016/1/28,5.722768363
416,30,1,2016/5/11,6.292054527
417,30,1,2015/12/31,5.722768363
418,25,2,2016/6/16,5.97467729
419,35,1,2016/5/10,6.292054527
420,40,1,2016/5/11,5.292153929
421,30,1,2016/4/20,6.292054527
422,40,1,2016/2/16,5.97467729
423,35,1,2016/5/2,6.292054527
424,35,1,2016/2/27,5.722768363
425,35,1,2016/6/18,6.153413856
426,30,2,2015/12/18,6.292054527
427,35,1,2016/2/16,5.722768363
428,25,1,2016/6/26,5.97467729
429,35,1,2015/12/16,6.292054527
430,30,2,2016/3/24,5.722768363
431,35,1,2016/1/8,5.97467729
432,35,1,2016/6/17,5.292153929
433,25,1,2016/3/20,5.722768363
434,35,1,2016/1/28,5.292153929
435,30,1,2016/6/11,5.97467729
436,30,2,2016/3/27,5.292153929
437,25,1,2016/5/11,5.97467729
438,35,2,2015/12/29,6.292054527
439,30,1,2016/1/28,6.153413856
440,25,2,2016/6/25,5.722768363
441,30,1,2016/3/18,6.153413856
442,30,2,2016/2/6,6.153413856
443,40,1,2016/5/3,5.97467729
444,30,1,2016/3/15,6.153413856
445,30,1,2016/5/4,5.97467729
446,30,1,2016/6/19,5.722768363
447,35,1,2016/3/27,6.292054527
448,45,1,2016/6/21,6.292054527
449,50,1,2015/12/5,6.292054527
450,25,1,2016/1/28,6.153413856
451,50,1,2015/12/26,6.292054527
452,25,1,2016/3/29,5.292153929
453,30,1,2016/1/8,5.97467729
454,35,1,2016/2/15,5.97467729
455,30,1,2016/6/24,5.722768363
456,30,1,2016/5/7,5.292153929
457,30,1,2016/4/21,6.292054527
458,45,1,2016/6/16,5.292153929
459,35,1,2016/1/23,6.292054527
460,30,1,2016/3/30,5.722768363
461,30,1,2016/4/15,6.292054527
462,30,1,2016/5/31,6.292054527
463,35,1,2016/5/3,6.153413856
464,35,1,2015/12/3,6.153413856
465,35,1,2016/5/21,5.97467729
466,30,1,2016/3/25,5.292153929
467,30,1,2016/3/14,5.292153929
468,40,1,2015/12/24,6.153413856
469,30,1,2015/12/17,6.292054527
470,50,1,2016/2/16,5.97467729
471,35,1,2016/6/8,5.97467729
472,30,1,2015/12/31,5.722768363
473,35,1,2016/5/23,5.97467729
474,35,1,2016/6/3,5.97467729
475,35,1,2016/6/16,6.292054527
476,30,1,2016/1/1,5.722768363
477,35,2,2016/1/5,6.153413856
478,30,1,2016/4/26,5.97467729
479,35,1,2016/2/17,6.292054527
480,25,1,2016/6/2,5.722768363
481,25,1,2016/3/11,5.292153929
482,40,1,2016/4/13,5.292153929
483,35,1,2016/2/16,5.722768363
484,30,1,2016/2/16,5.97467729
485,45,1,2016/3/12,5.722768363
486,25,1,2016/4/15,6.292054527
487,35,1,2016/2/16,5.292153929
488,40,1,2016/2/9,5.97467729
489,30,1,2016/1/28,5.97467729
490,30,1,2015/12/3,5.722768363
491,30,1,2016/6/27,5.292153929
492,30,2,2016/6/16,6.292054527
493,40,1,2015/12/30,6.292054527
494,30,1,2016/5/9,6.292054527
495,30,1,2016/2/15,5.722768363
496,45,1,2015/12/2,6.292054527
497,30,2,2016/6/21,5.722768363
498,30,1,2016/3/15,6.153413856
499,40,1,2015/12/30,5.97467729
500,30,1,2015/12/17,6.292054527
501,25,1,2015/12/29,6.153413856
502,35,1,2016/3/14,5.292153929
503,25,1,2016/3/15,5.722768363
504,35,1,2015/12/8,6.292054527
505,35,2,2016/3/15,6.153413856
506,45,1,2016/1/28,5.722768363
507,40,2,2016/3/17,5.292153929
508,40,1,2015/12/8,6.153413856
509,35,1,2015/12/25,6.292054527
510,30,1,2016/6/18,5.292153929
511,40,1,2016/2/16,5.722768363
512,30,2,2016/6/30,5.292153929
513,30,1,2016/5/18,5.97467729
514,35,1,2016/3/26,6.292054527
515,30,1,2016/2/19,5.292153929
516,35,1,2016/3/10,5.292153929
517,25,2,2016/5/12,5.722768363
518,35,1,2016/5/20,5.97467729
519,35,2,2016/4/18,6.292054527
520,30,1,2016/1/10,5.97467729
521,35,1,2016/3/12,6.153413856
522,30,1,2015/12/2,5.722768363
523,40,1,2016/2/22,6.292054527
524,30,1,2016/3/23,5.722768363
525,25,1,2016/2/16,5.97467729
526,40,1,2016/1/3,6.292054527
527,25,1,2015/12/12,5.722768363
528,25,1,2016/6/16,5.292153929
529,30,2,2016/1/28,5.722768363
530,30,1,2016/5/31,5.722768363
531,40,1,2015/12/18,5.97467729
532,35,2,2016/1/28,5.722768363
533,35,1,2015/12/16,6.292054527
534,35,1,2016/4/25,5.722768363
535,30,1,2016/2/29,5.97467729
536,30,1,2016/4/12,5.292153929
537,25,2,2016/4/18,5.97467729
538,40,1,2016/1/3,5.292153929
539,40,1,2016/6/10,6.292054527
540,35,1,2016/5/10,6.292054527
541,35,2,2016/6/19,6.153413856
542,30,1,2016/5/3,5.292153929
543,25,1,2016/3/26,5.292153929
544,25,1,2016/4/22,6.292054527
545,25,1,2016/6/2,5.292153929
546,35,1,2016/6/16,6.292054527
547,25,1,2016/4/15,5.292153929
548,40,1,2016/4/28,6.292054527
549,40,1,2016/3/24,6.292054527
550,30,1,2016/4/1,6.153413856
551,30,1,2015/12/18,6.292054527
552,30,1,2016/3/18,5.292153929
553,30,1,2016/1/25,5.722768363
554,25,2,2016/6/16,5.722768363
555,30,1,2016/2/22,6.292054527
556,25,1,2016/5/19,5.722768363
557,35,2,2016/2/17,6.153413856
558,45,1,2016/1/30,5.97467729
559,30,1,2016/4/15,5.292153929
560,35,1,2015/12/29,5.97467729
561,40,1,2016/1/27,5.97467729
562,35,1,2016/1/27,5.292153929
563,30,1,2016/2/16,5.292153929
564,30,1,2016/4/12,5.97467729
565,30,1,2016/1/28,6.153413856
566,40,1,2015/12/30,6.153413856
567,40,1,2016/2/25,5.292153929
568,35,1,2016/4/19,5.97467729
569,25,1,2016/4/21,6.292054527
570,45,1,2016/5/17,5.97467729
571,45,1,2016/2/16,5.97467729
572,40,1,2015/12/29,6.292054527
573,30,1,2016/4/29,6.153413856
574,30,1,2016/3/29,6.153413856
575,30,2,2016/6/24,5.292153929
576,30,1,2015/12/2,5.722768363
577,25,1,2016/5/28,5.292153929
578,30,1,2015/12/29,5.722768363
579,30,1,2016/4/15,5.97467729
580,30,1,2016/4/6,6.292054527
581,30,1,2016/4/29,5.292153929
582,30,1,2016/5/10,5.722768363
583,40,1,2015/12/17,6.292054527
584,25,1,2016/1/2,6.292054527
585,35,1,2016/5/3,6.153413856
586,25,1,2016/4/16,5.292153929
587,30,1,2016/4/12,6.292054527
588,30,1,2016/1/28,6.153413856
589,25,1,2016/5/14,5.97467729
590,40,1,2016/4/14,6.292054527
591,25,2,2016/2/2,6.153413856
592,35,1,2016/4/20,6.292054527
593,35,1,2016/4/30,5.97467729
594,35,1,2015/12/28,5.722768363
595,40,1,2016/3/14,5.97467729
596,25,1,2016/5/6,5.97467729
597,50,1,2016/2/6,5.97467729
598,35,1,2016/1/29,5.722768363
599,30,1,2016/4/25,5.722768363
600,30,1,2016/5/29,6.292054527
601,30,1,2016/1/22,6.153413856
602,30,1,2016/1/28,6.153413856
603,35,1,2015/12/18,5.722768363
604,35,1,2016/2/18,5.292153929
605,35,1,2016/6/11,5.97467729
606,35,2,2016/5/9,5.722768363
607,30,1,2016/2/1,5.722768363
608,40,1,2016/6/25,5.97467729
609,35,2,2016/1/19,6.292054527
610,30,2,2016/1/28,5.97467729
611,40,2,2016/3/5,6.292054527
612,40,1,2015/12/16,5.97467729
613,25,1,2016/6/15,5.722768363
614,25,1,2016/4/22,5.97467729
615,30,1,2015/12/22,5.97467729
616,40,1,2016/1/28,6.292054527
617,25,1,2016/3/18,6.153413856
618,25,1,2015/12/3,5.722768363
619,40,1,2016/3/17,5.722768363
620,25,1,2016/1/28,5.97467729
621,25,1,2016/1/9,5.722768363
622,30,1,2016/5/19,5.292153929
623,35,1,2015/12/31,5.97467729
624,30,1,2016/5/3,5.292153929
625,35,1,2016/6/21,5.292153929
626,50,1,2015/12/18,5.97467729
627,30,1,2016/6/18,6.292054527
628,30,1,2016/1/29,5.722768363
629,30,1,2016/2/16,5.722768363
630,35,1,2015/12/17,6.292054527
631,30,1,2016/1/28,5.722768363
632,35,1,2016/5/20,5.97467729
633,30,1,2016/1/10,6.292054527
634,35,1,2016/2/14,6.292054527
635,30,1,2016/4/20,5.722768363
636,40,1,2016/2/6,6.292054527
637,50,1,2016/5/22,5.97467729
638,40,1,2016/3/16,5.97467729
639,50,1,2016/2/3,5.97467729
640,35,1,2016/4/24,6.153413856
641,35,1,2016/6/19,6.292054527
642,30,1,2016/2/13,5.722768363
643,35,1,2016/1/28,6.292054527
644,30,1,2016/5/1,6.292054527
645,35,1,2016/3/21,5.722768363
646,45,1,2016/4/28,6.292054527
647,45,1,2016/1/1,5.722768363
648,30,1,2016/2/10,5.292153929
649,35,1,2016/2/11,5.97467729
650,40,1,2015/12/17,5.97467729
651,25,1,2016/4/15,6.292054527
652,30,1,2016/6/30,5.292153929
653,45,1,2016/3/31,5.722768363
654,35,1,2016/4/14,5.97467729
655,30,1,2016/6/19,6.153413856
656,45,1,2015/12/9,6.292054527
657,25,2,2016/5/6,5.722768363
658,30,1,2016/4/7,6.153413856
659,25,1,2016/6/21,6.153413856
660,25,1,2016/6/23,6.292054527
661,40,1,2016/4/26,5.97467729
662,35,1,2016/4/20,6.292054527
663,25,1,2016/5/5,5.97467729
664,35,1,2016/2/17,5.97467729
665,25,1,2016/5/31,5.722768363
666,35,1,2016/2/10,5.97467729
667,40,1,2016/2/16,5.97467729
668,30,1,2016/6/11,5.97467729
669,30,1,2015/12/26,6.292054527
670,30,1,2016/3/31,5.292153929
671,25,1,2016/5/21,6.153413856
672,35,2,2016/6/16,5.722768363
673,30,1,2016/1/12,5.722768363
674,30,1,2016/2/5,5.97467729
675,30,2,2016/2/17,5.97467729
676,35,1,2016/3/15,5.292153929
677,40,1,2016/6/6,6.292054527
678,30,1,2016/2/16,5.722768363
679,30,1,2016/1/4,6.292054527
680,35,1,2016/1/1,6.292054527
681,30,1,2016/5/11,5.722768363
682,35,1,2016/2/16,6.292054527
683,35,1,2016/2/16,6.292054527
684,25,1,2016/6/1,6.292054527
685,30,1,2016/2/13,6.153413856
686,30,1,2016/4/22,5.292153929
687,30,1,2016/1/28,5.292153929
688,30,1,2016/1/7,5.97467729
689,30,1,2015/12/17,5.722768363
690,30,1,2016/4/26,6.292054527
691,30,2,2016/4/18,5.292153929
692,30,1,2016/1/1,5.722768363
693,25,1,2016/4/26,5.97467729
694,30,1,2015/12/23,5.722768363
695,30,1,2016/3/15,5.292153929
696,35,1,2016/4/22,5.292153929
697,25,1,2016/3/30,5.292153929
698,25,1,2016/3/23,6.153413856
699,40,1,2016/2/7,6.292054527
700,30,1,2016/5/3,6.292054527
701,35,1,2016/6/6,5.722768363
702,25,2,2016/6/24,5.722768363
703,30,1,2016/5/10,5.292153929
704,35,1,2016/2/16,5.722768363
705,30,1,2016/5/1,5.292153929
706,40,1,2016/2/17,5.97467729
707,30,2,2016/2/16,5.292153929
708,40,1,2016/1/28,5.97467729
709,25,1,2015/12/30,5.97467729
710,30,2,2016/2/16,5.97467729
711,40,1,2015/12/17,6.292054527
712,40,1,2016/4/20,6.292054527
713,25,1,2016/4/14,5.97467729
714,35,2,2016/1/28,6.292054527
715,45,1,2016/3/23,6.292054527
716,35,2,2016/2/13,5.722768363
717,40,1,2016/3/13,5.722768363
718,25,1,2016/3/20,5.292153929
719,30,2,2016/3/25,6.153413856
720,35,1,2016/1/1,6.292054527
721,25,1,2016/4/14,5.722768363
722,35,2,2016/1/26,6.292054527
723,45,2,2016/1/8,5.97467729
724,25,1,2016/5/27,5.722768363
725,35,1,2016/1/28,5.97467729
726,40,1,2016/6/18,5.292153929
727,30,1,2016/1/28,5.97467729
728,30,1,2016/2/4,5.97467729
729,35,2,2016/1/31,5.722768363
730,30,1,2015/12/17,6.292054527
731,30,1,2016/5/4,6.292054527
732,45,1,2016/5/6,6.153413856
733,25,1,2015/12/22,5.292153929
734,30,1,2016/6/21,6.292054527
735,25,1,2016/3/24,5.292153929
