,active_ability
1062,1.333333333
1063,4.666666667
1064,0
1065,4.666666667
1066,0.333333333
1067,0
1068,0.333333333
1069,0
1070,2.333333333
1071,3.333333333
1072,4
1073,0
1074,7.333333333
1075,0
1076,0
1077,25.33333333
1078,3.666666667
1079,5.666666667
1080,4
1081,0
1082,0.666666667
1083,2.666666667
1084,0
1085,0
1086,2
1087,11.66666667
1088,0
1089,8.333333333
1090,4.333333333
1091,1.333333333
1092,2.666666667
1093,1
1094,0.666666667
1095,4.666666667
1096,0
1097,1.333333333
1098,0
1099,20.33333333
1100,1
1101,0.666666667
1102,3.333333333
1103,1
1104,0.666666667
1105,0
1106,4.333333333
1107,0
1108,0
1109,0.333333333
1110,1.333333333
1111,0.666666667
1112,0
1113,0
1114,0.333333333
1115,3.666666667
1116,3.333333333
1117,2.333333333
1118,1.666666667
1119,0
1120,0.333333333
1121,1
1122,0
1123,0.666666667
1124,0
1125,4.333333333
1126,2
1127,4.333333333
1128,1
1129,0
1130,0
1131,0
1132,2
1133,4.666666667
1134,0
1135,0
1136,0
1137,3
1138,0
1139,0.666666667
1140,0
1141,0.666666667
1142,6.333333333
1143,0
1144,0
1145,0
1146,0
1147,5.333333333
1148,5.333333333
1149,0
1150,0
1151,6.333333333
1152,0
1153,17.66666667
1154,3.333333333
1155,1.333333333
1156,9
1157,2
1158,13.66666667
1159,2.666666667
1160,0
1161,0
1162,1.666666667
1163,4.666666667
1164,0
1165,2
1166,1.333333333
1167,1
1168,1
1169,3.666666667
1170,5
1171,3.333333333
1172,0
1173,8
1174,0.666666667
1175,2
1176,0
1177,2.333333333
1178,2
1179,1.333333333
1180,0
1181,0.666666667
1182,0
1183,0
1184,0
1185,0
1186,1.666666667
1187,8.333333333
1188,0
1189,0
1190,4
1191,6.666666667
1192,0
1193,4
1194,0.333333333
1195,5.666666667
1196,0
1197,1
1198,0
1199,0.333333333
1200,6.666666667
1201,5.666666667
1202,0
1203,0
1204,0.333333333
1205,2.666666667
1206,1.666666667
1207,2.666666667
1208,0.333333333
1209,5
1210,1.666666667
1211,0.666666667
1212,0
1213,0
1214,0.333333333
1215,2.333333333
1216,0
1217,0
1218,0
1219,0.333333333
1220,0
1221,0.666666667
1222,0
1223,11
1224,0
1225,0
1226,0
1227,0.666666667
1228,1
1229,3
1230,0
1231,1.666666667
1232,2
1233,3.666666667
1234,29.66666667
1235,0
1236,3.333333333
1237,3.666666667
1238,0.333333333
1239,2.666666667
1240,8.666666667
1241,0.333333333
1242,4
1243,1.333333333
1244,1.666666667
1245,0.333333333
1246,0.333333333
1247,14.66666667
1248,3
1249,9.333333333
1250,1.333333333
1251,3.333333333
1252,0.666666667
1253,0.333333333
1254,0
1255,3.333333333
1256,0
1257,2.666666667
1258,6.333333333
1259,1.333333333
1260,7
1261,10.66666667
1262,1
1263,3
1264,0
1265,0.333333333
1266,1
1267,0
1268,4
1269,3.666666667
1270,2.333333333
1271,3.666666667
1272,5.666666667
1273,1.333333333
1274,0
1275,1.333333333
1276,2
1277,0.666666667
1278,1.333333333
1279,0
1280,4.333333333
1281,5.666666667
1282,0.666666667
1283,0
1284,0
1285,0
1286,0
1287,0.333333333
1288,1.666666667
1289,9.333333333
1290,0
1291,0.666666667
1292,3.333333333
1293,0.666666667
1294,0
1295,0
1296,0
1297,0
1298,1
1299,0
1300,22.33333333
1301,0
1302,1
1303,0
1304,0
1305,1.666666667
1306,9.333333333
1307,0.666666667
1308,1.666666667
1309,2.666666667
1310,12.66666667
1311,0.333333333
1312,4
1313,3
1314,0
1315,0
1316,0
1317,3
1318,2
1319,0
1320,1.333333333
1321,3.333333333
1322,4.666666667
1323,1.333333333
1324,3.666666667
1325,0
1326,1.666666667
1327,1
1328,0
1329,0.666666667
1330,0.666666667
1331,3.333333333
1332,0
1333,1.666666667
1334,0.666666667
1335,0
1336,1
1337,11.66666667
1338,0
1339,0.666666667
1340,9.333333333
1341,0
1342,2
1343,0
1344,0.666666667
1345,0.333333333
1346,0
1347,0
1348,2
1349,1.333333333
1350,7
1351,0
1352,3.333333333
1353,0
1354,3.666666667
1355,0
1356,39.66666667
1357,3.333333333
1358,0
1359,1.333333333
1360,0
1361,2
1362,10
1363,0
1364,0.666666667
1365,4
1366,0
1367,0.333333333
1368,0.666666667
1369,1
1370,0.333333333
1371,0
1372,1.333333333
1373,3.666666667
1374,0
1375,0
1376,7.333333333
1377,0
1378,3
1379,1
1380,0.333333333
1381,0
1382,0.333333333
1383,2.333333333
1384,9.666666667
1385,1
1386,5.666666667
1387,0
1388,1
1389,9.666666667
1390,2.666666667
1391,0
1392,0.666666667
1393,6.666666667
1394,0.666666667
1395,5
1396,4.666666667
1397,0
1398,3.666666667
1399,14.66666667
1400,0.333333333
1401,8.666666667
1402,0
1403,0.333333333
1404,0
1405,1.333333333
1406,0
1407,0
1408,0
1409,0
1410,0
1411,5.333333333
1412,0
1413,14.66666667
1414,0
1415,0.666666667
1416,0
1417,3.666666667
1418,7
1419,0.666666667
1420,1.333333333
1421,28.33333333
1422,2.666666667
1423,0.666666667
1424,0
1425,9.666666667
1426,0
1427,0.333333333
1428,0.666666667
1429,2
1430,3.333333333
1431,1.666666667
1432,0.333333333
1433,0.666666667
1434,11.66666667
1435,1.333333333
1436,0.333333333
1437,4.666666667
1438,0.666666667
1439,2
1440,0
1441,0.666666667
1442,0.666666667
1443,0.333333333
1444,0.333333333
1445,8.333333333
1446,5
1447,0
1448,0
1449,6
1450,0
1451,15
1452,0
1453,0
1454,2.333333333
1455,13.66666667
1456,0
1457,3.333333333
1458,3.666666667
1459,0.333333333
1460,14.66666667
1461,0
1462,0.333333333
1463,0
1464,3.666666667
1465,0
1466,0.333333333
1467,0.333333333
1468,26
1469,8.333333333
1470,0
1471,3
1472,4.666666667
1473,0
1474,0.666666667
1475,3
1476,1
1477,4.666666667
1478,4.666666667
1479,7
1480,2.666666667
1481,0
1482,1.333333333
1483,4
1484,6.666666667
1485,2.666666667
1486,0
1487,1.666666667
1488,4.333333333
1489,0
1490,24.33333333
1491,0
1492,9
1493,4.666666667
1494,0
1495,0
1496,3.333333333
1497,2.333333333
1498,18
1499,0
1500,0.666666667
1501,2.333333333
1502,0
1503,1
1504,1.333333333
1505,0
1506,6.666666667
1507,3.333333333
1508,0.666666667
1509,2
1510,3.333333333
1511,6.333333333
1512,2
1513,0
1514,0.333333333
1515,3.666666667
1516,0
1517,7
1518,4.333333333
1519,6.333333333
1520,3
1521,4
1522,0
1523,0
1524,0
1525,3
1526,3.333333333
1527,5
1528,6
1529,1.333333333
1530,6
1531,0.666666667
1532,10.33333333
1533,1.666666667
1534,0
1535,0.666666667
1536,2
1537,0.666666667
1538,0.333333333
1539,1
1540,0
1541,0
1542,1
1543,2
1544,0.666666667
1545,0
1546,1
1547,2.333333333
1548,0
1549,0
1550,2
1551,0
1552,10
1553,4
1554,0
1555,1.333333333
1556,1.666666667
1557,0.666666667
1558,0
1559,5.333333333
1560,0.333333333
1561,1
1562,9
1563,0.333333333
1564,0.666666667
1565,0.333333333
1566,7.666666667
1567,3.333333333
1568,0
1569,1
1570,4
1571,2
1572,6.333333333
1573,4
1574,0.666666667
1575,1
1576,4.666666667
1577,11.33333333
1578,2.666666667
1579,2.333333333
1580,1.666666667
1581,0
1582,0
1583,6
1584,0
1585,17.33333333
1586,2.666666667
1587,19.33333333
1588,4
1589,0.333333333
1590,2.333333333
1591,7.666666667
1592,5.333333333
1593,4
1594,0.666666667
1595,2
1596,1.333333333
1597,5
1598,3.666666667
1599,1.666666667
1600,1.666666667
1601,31
1602,24.33333333
1603,0
1604,0.333333333
1605,0
1606,4.666666667
1607,2
1608,6.333333333
1609,0
1610,2.666666667
1611,0
1612,0.333333333
1613,6
1614,0.666666667
1615,0.666666667
1616,3.333333333
1617,3.333333333
1618,0
1619,0.666666667
1620,0
1621,0
1622,0
1623,3
1624,2.333333333
1625,0
1626,1
1627,0
1628,1.666666667
1629,0.333333333
1630,1.333333333
1631,23
1632,14.33333333
1633,3.333333333
1634,0
1635,0.333333333
1636,0
1637,2
1638,6
1639,5.333333333
1640,3.666666667
1641,2.666666667
1642,0
1643,2.666666667
1644,1
1645,3.333333333
1646,0
1647,2.333333333
1648,0.333333333
1649,4
1650,1.666666667
1651,4.666666667
1652,1.333333333
1653,0
1654,3.333333333
1655,3.666666667
1656,1
1657,2
1658,0.666666667
1659,1.666666667
1660,0.666666667
1661,4.333333333
1662,3.333333333
1663,0
1664,0
1665,0
1666,0.666666667
1667,0
1668,2.666666667
1669,0.333333333
1670,3.666666667
1671,0
1672,0
1673,0
1674,0
1675,3.666666667
1676,0.333333333
1677,3
1678,0
1679,3
1680,0
1681,0.666666667
1682,9.666666667
1683,4
1684,2
1685,4.333333333
1686,0.666666667
1687,6
1688,0
1689,0
1690,3
1691,0
1692,4
1693,6.333333333
1694,2.666666667
1695,0
1696,0
1697,2.333333333
1698,0.333333333
1699,10.66666667
1700,2.666666667
1701,9
1702,4.666666667
1703,0
1704,1.333333333
1705,0.666666667
1706,2
1707,0
1708,6.666666667
1709,0.666666667
1710,0.333333333
1711,1.333333333
1712,1.666666667
1713,7.666666667
1714,0
1715,9.333333333
1716,8.666666667
1717,0.333333333
1718,4.333333333
1719,15
1720,5.333333333
1721,3.333333333
1722,0
1723,3
1724,6.666666667
1725,0
1726,1.666666667
1727,1.333333333
1728,2.333333333
1729,3.666666667
1730,0
1731,1.333333333
1732,1
1733,7.333333333
1734,10.66666667
1735,0
1736,0
1737,4.666666667
1738,1.333333333
1739,0
1740,3
1741,6.666666667
1742,2.666666667
1743,0
1744,0.333333333
1745,1.666666667
1746,0
1747,4.333333333
1748,2
1749,0
1750,6.666666667
1751,1.333333333
1752,1
1753,3.666666667
1754,1.333333333
1755,0
1756,0
1757,3
1758,0.333333333
1759,2.666666667
1760,2.333333333
1761,0
1762,0
1763,1.666666667
1764,1
1765,4.666666667
1766,3.666666667
1767,0
1768,0.666666667
1769,0
1770,9.333333333
1771,3
1772,2.666666667
1773,6.333333333
1774,11
1775,0.333333333
1776,0
1777,8.666666667
1778,4.666666667
1779,0
1780,0
1781,0
1782,1
1783,9.666666667
1784,0
1785,0.333333333
1786,2.333333333
1787,0.333333333
1788,4.333333333
1789,5
1790,20.66666667
1791,0.333333333
1792,1
1793,3.333333333
1794,0.333333333
1795,2
1796,1
1797,1.333333333
1798,5
1799,11.66666667
1800,4
1801,0.666666667
1802,1.666666667
1803,3.666666667
1804,9.333333333
1805,0
1806,3
1807,0.333333333
1808,1.333333333
1809,6.333333333
1810,4.666666667
1811,0.666666667
1812,2
1813,4
1814,0
1815,0.333333333
1816,9.333333333
1817,3.333333333
1818,0
1819,3.333333333
1820,0.333333333
1821,1.666666667
1822,0.666666667
1823,0.666666667
1824,3
1825,5
1826,2.666666667
1827,0.333333333
1828,10.66666667
1829,3
1830,5.333333333
1831,8
1832,5.333333333
1833,2.666666667
1834,1
1835,0.333333333
1836,1.333333333
1837,0.666666667
1838,1.666666667
1839,0.666666667
1840,0.333333333
1841,1
1842,0
1843,3.666666667
1844,5.333333333
1845,0
1846,0
1847,5.666666667
1848,2
1849,1.666666667
1850,4.333333333
1851,2
1852,0.666666667
1853,5.666666667
1854,0.666666667
1855,2
1856,0
1857,0
1858,0
1859,0
1860,1.666666667
1861,1
1862,3.333333333
1863,3.333333333
1864,0
1865,4
1866,2
1867,7.333333333
1868,1
1869,1.333333333
1870,0.666666667
1871,1
1872,6.666666667
1873,0
1874,0
1875,2
1876,2.666666667
1877,0
1878,0
1879,1.333333333
1880,0
1881,1
1882,1.333333333
1883,2.333333333
1884,0.666666667
1885,1.666666667
1886,0
1887,2.333333333
1888,3.333333333
1889,6
1890,6
1891,0
1892,0
1893,0
1894,4
1895,0.333333333
1896,0
1897,0
1898,1.666666667
1899,0
1900,4.666666667
1901,1
1902,33.66666667
1903,1.333333333
1904,0.333333333
1905,2
1906,9
1907,1.666666667
1908,15.66666667
1909,0
1910,1.333333333
1911,0
1912,1.666666667
1913,0
1914,18.33333333
1915,0
1916,0
1917,0
1918,1
1919,0
1920,4
1921,4.666666667
1922,0
1923,28
1924,3.666666667
1925,5.666666667
1926,0
1927,0.666666667
1928,0
1929,2.666666667
1930,1.666666667
1931,8.333333333
1932,4.666666667
1933,3.333333333
1934,4
1935,2.333333333
1936,3.666666667
1937,13
1938,0.666666667
1939,3.333333333
1940,2.333333333
1941,0.666666667
1942,4
1943,1.333333333
1944,1
1945,1.666666667
1946,3.666666667
1947,5.333333333
1948,3.333333333
1949,4
1950,0.666666667
1951,1.666666667
1952,2.666666667
1953,2
1954,0.666666667
1955,5
1956,3
1957,1
1958,5.333333333
1959,5
1960,7
1961,0.666666667
1962,0
1963,10.33333333
1964,3.333333333
1965,1.333333333
1966,0
1967,10
1968,0
1969,1.333333333
1970,4.666666667
1971,0
1972,0
1973,3.666666667
1974,1
1975,0.333333333
1976,17.66666667
1977,6.666666667
1978,5.333333333
1979,0.333333333
1980,5
1981,27.66666667
1982,5
1983,0.333333333
1984,1.666666667
1985,11.33333333
1986,0
1987,5.666666667
1988,0.666666667
1989,0
1990,0
1991,0
1992,1.333333333
1993,0
1994,3.333333333
1995,0
1996,0
1997,0
1998,1.333333333
1999,3.666666667
2000,0
2001,0
2002,0.333333333
2003,0.666666667
2004,5
2005,1.666666667
2006,0
2007,39.33333333
2008,2
2009,0
2010,7.333333333
2011,3.666666667
2012,0
2013,5.333333333
2014,6
2015,0
2016,0.333333333
2017,0.333333333
2018,0
2019,8.333333333
2020,3.666666667
2021,1.666666667
2022,4
2023,4.333333333
2024,1
2025,0.333333333
2026,2.333333333
2027,16.33333333
2028,8
2029,0
2030,3.666666667
2031,0
2032,0
2033,2.333333333
2034,2.333333333
2035,2.333333333
2036,6
2037,8.333333333
2038,1.666666667
2039,1.333333333
2040,0
2041,0.666666667
2042,0
2043,0.666666667
2044,0
2045,0.333333333
2046,0
2047,9
2048,2
2049,0
2050,0
2051,10.33333333
2052,0
2053,0.333333333
2054,1
2055,2
2056,2
2057,3
2058,2
2059,1
2060,0
2061,0.666666667
2062,0
2063,0.333333333
2064,5.333333333
2065,0.333333333
2066,5
2067,4.666666667
2068,19
2069,2.333333333
2070,0.666666667
2071,0
2072,3
2073,0
2074,3.333333333
2075,0.333333333
2076,0.333333333
2077,4.666666667
2078,0.666666667
2079,0.333333333
2080,0
2081,0
2082,2
2083,0
2084,4.666666667
2085,0
2086,0
2087,6
2088,2.333333333
2089,8.666666667
2090,0
2091,1.666666667
2092,2.333333333
2093,18.66666667
2094,3.666666667
2095,0.333333333
2096,0
2097,0
2098,7
2099,0
2100,0
2101,4.333333333
2102,0
2103,0
2104,3.666666667
2105,3.333333333
2106,6
2107,2.333333333
2108,3.333333333
2109,1
2110,3.333333333
2111,7
2112,4.666666667
2113,0
2114,0
2115,0
2116,53.33333333
2117,0.666666667
2118,8.333333333
2119,1
2120,2.666666667
2121,1.333333333
2122,2.333333333
2123,6
2124,1
2125,0
2126,0
2127,2
2128,0.333333333
2129,0
2130,0
