,order_ability
241,2.727577084
242,2.47097354
243,2.750457028
244,2.462679908
245,2.667228047
246,3.76046715
247,2.837726425
248,2.310999772
249,2.612821959
250,3.583781373
251,2.074871908
252,4.292650699
253,2.726368385
254,3.067067125
255,3.017184888
256,2.446681636
257,2.186298161
258,2.928089754
259,
260,2.334698841
261,
262,2.065157252
263,2.949325554
264,2.795888947
265,2.612522414
266,2.013724693
267,
268,1.999206683
269,2.921600997
270,
271,2.275587524
272,2.66059882
273,
274,2.482951171
275,2.470407414
276,
277,3.579858758
278,3.021058336
279,2.973674576
280,2.336658172
281,
282,2.279181977
283,4.861353116
284,2.580576081
285,2.495854198
286,3.215503815
287,2.186721056
288,2.989251068
289,2.383602551
290,2.61285097
291,2.716732166
292,4.80954521
293,2.901832605
294,2.219919854
295,2.383518284
296,2.883401509
297,3.005025523
298,5.266066983
299,1.896823183
300,2.65407104
301,
302,2.169924129
303,2.106842028
304,2.19213554
305,4.885722315
306,2.866920117
307,2.902906762
308,3.169166498
309,2.649757246
310,
311,1.772392723
312,3.563231689
313,2.352844453
314,2.70555219
315,2.322080423
316,4.604435994
317,
318,2.771017449
319,2.628137024
320,
321,2.83244987
322,2.298617736
323,2.925372482
324,2.492787526
325,2.939219171
326,3.318878298
327,2.519994564
328,
329,3.34315727
330,2.069974994
331,2.650347295
332,2.617906294
333,2.671746137
334,2.169425099
335,4.292029674
336,3.047404546
337,
338,2.866304018
339,2.851146501
340,2.006020154
341,3.464198023
342,
343,4.292029674
344,2.795888947
345,
346,3.113282753
347,3.050009801
348,2.977629383
349,2.055129036
350,2.959503899
351,2.760168694
352,2.479157322
353,2.660650638
354,4.286481614
355,2.655979171
356,4.243362432
357,2.47821813
358,2.840264836
359,4.995009331
360,2.268252831
361,2.866920117
362,3.154512346
363,4.266017982
364,3.25321549
365,2.753945455
366,2.44189853
367,2.427699698
368,3.242695354
369,2.413763986
370,
371,2.031789748
372,2.346102022
373,2.762833701
374,2.871823254
375,2.4644615
376,3.436529188
377,2.712643603
378,
379,3.977186519
380,2.292029674
381,2.493402488
382,2.867987294
383,5.517645192
384,2.092752604
385,2.919366319
386,1.845417959
387,
388,3.233706217
389,2.351307705
390,3.173842902
391,3.085902632
392,
393,2.055087884
394,3.588875995
395,3.704483444
396,
397,
398,3.543959311
399,3.601293163
400,2.397088615
401,3.47169573
402,2.861353116
403,4.009694453
404,2.281162614
405,3.729120967
406,2.309563562
407,3.005738763
408,2.344862786
409,4.225874749
410,2.722706232
411,3.052385788
412,3.587312013
413,4.501091629
414,2.42863325
415,2.670885774
416,3.035023313
417,3.30205577
418,2.398054905
419,3.274877476
420,3.15338279
421,2.725351556
422,2.36679018
423,3.228538685
424,2.78269266
425,2.483576932
426,2.662514376
427,
428,2.568138291
429,2.092218534
430,2.127552285
431,4.476371578
432,2.916150918
433,3.1795613
434,2.527064858
435,2.312714897
436,2.725375255
437,2.241645666
438,3.102119132
439,2.617467057
440,4.657242063
441,2.772078619
442,2.955552833
443,2.711349804
444,3.255323718
445,2.308971058
446,2.293204277
447,
448,2.345788973
449,2.371443202
450,3.077539489
451,3.191050986
452,2.446125163
453,2.206633468
454,3.363739023
455,3.223877634
456,2.601407066
457,2.619507828
458,2.535831051
459,2.704818529
460,2.138320926
461,2.564031364
462,
463,
464,2.866920117
465,2.382138893
466,2.616456768
467,2.208697601
468,1.857670505
469,2.265738788
470,2.7879777
471,2.854113358
472,2.237884715
473,3.096178549
474,2.12476132
475,2.223415088
476,2.965334757
477,
478,2.279079706
479,2.315409135
480,1.760374428
481,2.308489706
482,3.087378799
483,2.211329165
484,2.295141214
485,2.438237112
486,3.013146749
487,2.71127218
488,2.760848358
489,2.691047178
490,2.12426947
491,
492,
493,3.019571222
494,2.53080937
495,3.205686962
496,3.397112504
497,2.597591542
498,2.66957856
499,2.572456643
500,3.500114744
501,1.543959311
502,2.652586254
503,2.232093078
504,4.719279458
505,2.401452904
506,2.698211986
507,
508,2.620126624
509,4.069526815
510,3.052681386
511,
512,1.960302297
513,2.935453068
514,2.330244265
515,2.512950198
516,3.39346763
517,
518,2.500799215
519,3.272972204
520,2.84660555
521,2.457843103
522,2.877397138
523,3.85749187
524,2.472159584
525,2.757249938
526,3.508460354
527,2.219479718
528,3.024369199
529,3.383459223
530,2.305854755
531,2.833507962
532,2.302676673
533,
534,3.705380181
535,2.38939961
536,2.548855172
537,
538,2.033716922
539,
540,
541,2.278838762
542,3.730328472
543,2.866304018
544,2.722479451
545,2.788946585
546,2.609123131
547,2.972780668
548,3.633506443
549,2.757243576
550,2.371692077
551,2.962107652
552,1.695462794
553,2.675352338
554,2.504215075
555,2.764561632
556,2.053301431
557,2.623869356
558,1.998005338
559,2.663751267
560,3.205372796
561,2.86633959
562,2.978059896
563,2.387311348
564,2.330150856
565,1.785482405
566,3.294510057
567,5.121512475
568,2.765538364
569,3.226560134
570,1.991200581
571,2.021773969
572,2.327843391
573,2.757574994
574,2.446651633
575,3.483142898
576,
577,2.123314695
578,2.360191548
579,2.61382722
580,2.191411569
581,3.004248149
582,2.317084882
583,2.543700347
584,2.243553224
585,2.667009138
586,2.72676078
587,2.429845304
588,2.924526041
589,2.966044149
590,2.113282753
591,2.763733306
592,3.822907766
593,3.424012095
594,3.14947275
595,2.564788732
596,1.910462903
597,
598,2.722706232
599,2.441761122
600,
601,3.293679975
602,2.775524418
603,3.256880539
604,2.913610269
605,2.650266601
606,2.272137731
607,2.137378876
608,2.528219037
609,2.810070892
610,2.133342446
611,2.507896631
612,2.614200653
613,5.2202109
614,3.026130503
615,2.462829097
616,2.759314316
617,3.289751587
618,
619,2.244017518
620,2.293147386
621,1.910964709
622,2.218773245
623,2.516927707
624,2.970890753
625,2.237390866
626,2.815955464
627,
628,2.981254989
629,2.391193283
630,3.007791422
631,2.123543199
632,3.376098026
633,2.131648669
634,
635,3.060837852
636,3.249298148
637,2.266395797
638,3.085111004
639,
640,2.668346079
641,3.951254264
642,2.463200187
643,2.132348725
644,
645,2.602234726
646,2.128772902
647,2.709498188
648,2.366646473
649,2.010933024
650,4.297068863
651,
652,3.535111304
653,2.948356931
654,2.885684446
655,2.792460139
656,3.024369199
657,
658,1.931789511
659,2.298294753
660,2.908869363
661,2.221914111
662,2.348909183
663,3.455045757
664,1.999855817
665,3.634112033
666,3.189308623
667,3.073457029
668,2.523137407
669,2.127651495
670,2.817162116
671,2.273040373
672,2.447834826
673,3.069932965
674,2.104076943
675,1.633995694
676,2.372186326
677,2.789628804
678,2.607445673
679,2.416079298
680,
681,2.145743172
682,2.615894533
683,2.317666078
684,1.489896102
685,2.581412592
686,2.861353116
687,2.055949246
688,2.861353116
689,
690,2.871469889
691,2.760689514
692,2.043198972
693,1.949026385
694,2.671395261
695,2.783011068
696,4.722706232
697,2.959071172
698,3.676164669
699,
700,
701,2.594970093
702,
703,2.861617725
704,2.600956176
705,2.827326138
706,3.929959954
707,3.044812115
708,1.868878221
709,
710,2.609968235
711,2.860706254
712,2.31819207
713,3.277388044
714,1.767046597
715,2.681479448
716,4.885722315
717,1.423217676
718,2.384120393
719,2.694976855
720,2.660371803
721,1.974308582
722,2.28763001
723,3.891989047
724,2.6693182
725,
726,3.760331426
727,3.301043283
728,3.36263954
729,2.822244871
730,2.711781345
731,3.324681912
732,3.055228952
733,2.591848912
734,2.392185322
735,3.319378903
736,2.430676558
737,
738,
739,2.751831725
740,2.761005802
741,3.348418531
742,2.888570708
743,3.140016111
744,2.933588261
745,2.76881504
746,2.638241895
747,3.478308441
748,2.602250316
749,1.954967632
750,2.722706232
751,2.494482015
752,3.541884735
753,2.531199556
754,3.900845
755,2.299700866
756,
757,1.913489539
758,2.27338227
759,2.866920117
760,2.324334411
761,2.394025722
762,3.130654594
763,2.163016083
764,2.555310144
765,2.671078983
766,2.698771061
767,3.300192464
768,3.144377311
769,2.1572813
770,2.356413606
771,3.042868068
772,
773,2.262373338
774,2.671232766
775,3.395335418
776,2.252634729
777,2.589732072
778,2.608403016
779,3.679665139
780,2.362678798
781,2.368798674
782,1.965828612
783,2.0226982
784,2.940016037
785,2.86106656
786,3.164697805
787,0.930670655
788,3.98020984
789,
790,2.733674557
791,4.9091717
792,2.861353116
793,3.141100131
794,2.998372572
795,
796,2.100304418
797,2.1354596
798,
799,2.608398509
800,2.981802167
801,3.086161581
802,2.248246983
803,2.412080382
804,2.670448034
805,2.90170514
806,3.564759403
807,2.890962889
808,3.052404102
809,2.02345644
810,2.671296836
811,3.274816645
812,2.855108491
813,2.185295736
814,2.588776601
815,2.111512186
816,3.335048484
817,
818,0.006182488
819,2.247734071
820,
821,2.553210126
822,2.004911969
823,3.564332773
824,2.781212108
825,1.825595543
826,2.185344905
827,2.28397728
828,2.375058152
829,
830,
831,2.329282901
832,1.984258794
833,3.405312427
834,4.321639447
835,2.530690682
836,2.716330828
837,4.953785867
838,3.395763327
839,3.258817423
840,2.558638413
841,2.09712166
842,2.229067316
843,
844,2.773626556
845,2.704527646
846,2.340199539
847,3.50330673
848,2.878867328
849,2.672627506
850,3.314234902
851,3.139982239
852,3.642264159
853,2.866895398
854,3.66165346
855,2.67883635
856,2.743764491
857,1.85312481
858,2.002480382
859,3.2702396
860,3.288915207
861,4.404794432
862,3.140210062
863,3.348195334
864,2.362661222
865,3.514704176
866,2.818438089
867,2.895957972
868,2.3365614
869,2.603541618
870,1.939163501
871,2.323370073
872,2.163305041
873,2.351697456
874,
875,2.722706232
876,3.003409008
877,2.387381533
878,1.588894664
879,2.13776869
880,3.700777869
881,2.706552609
882,3.24431856
883,2.965884094
884,
885,2.866304018
886,2.81932225
887,2.261665321
888,3.896560651
889,
890,2.576771955
891,2.751047901
892,3.209934683
893,2.632137873
894,2.077133157
895,2.598198273
896,3.133031809
897,3.17477785
898,2.486684033
899,2.743863296
900,2.49408977
901,2.202656214
902,2.962478456
903,2.576691395
904,2.313231188
905,2.29695125
906,
907,3.004307948
908,2.047122593
909,2.531681766
910,2.935497508
911,3.974635869
912,3.400951638
913,2.570284374
914,
915,2.931599873
916,2.241644783
917,2.472998038
918,2.812945274
919,2.131648669
920,3.737863749
921,2.83327142
922,2.272285496
923,3.109839164
924,2.603154044
925,3.256361024
926,
927,4.40780664
928,2.801129428
929,3.273737392
930,2.790049575
931,2.494376607
932,2.866304018
933,
934,
935,2.948770746
936,3.24719532
937,1.505908276
938,2.804487227
939,2.910738432
940,2.347639414
941,2.354786782
942,3.00888299
943,2.194205579
944,2.526751277
945,
946,2.192500802
947,2.84110746
948,2.565703664
949,3.920572661
950,2.828621032
951,2.183686415
952,
953,2.585187738
954,2.310683018
955,2.830980421
956,
957,
958,3.268825234
959,2.636098084
960,
961,3.697018405
962,2.725207833
963,2.561592279
964,2.80408979
965,1.651857458
966,
967,2.499378242
968,2.442975033
969,2.548305565
970,2.381006337
971,2.743250646
972,2.450339547
973,2.725262028
974,2.812469597
975,2.634066334
976,2.995265603
977,
978,4.20312807
979,2.779330388
980,2.422566478
981,3.009492987
982,2.831719092
983,2.71049406
984,2.299647355
985,2.563620692
986,2.375977145
987,2.961946308
988,2.823832309
989,
990,2.468497351
991,2.303747515
992,2.747241938
993,
994,3.012988945
995,2.96432686
996,2.388884173
997,3.245295619
998,1.969034757
999,2.864436721
1000,3.040128173
1001,2.284473697
1002,3.543959311
1003,
1004,2.497903932
1005,3.385262408
1006,
1007,1.943188255
1008,3.396560651
1009,2.352301447
1010,4.094793649
1011,2.74402623
1012,2.879687656
1013,2.70558944
1014,2.39154323
1015,2.639738513
1016,2.022141916
1017,2.478747117
1018,3.452245947
1019,3.452771626
1020,3.662164903
1021,2.802071435
1022,2.145059246
1023,3.706654
1024,2.633486074
1025,2.369500897
1026,2.537348368
1027,3.051630502
1028,3.911749974
1029,2.62175684
1030,2.356547598
1031,2.722706232
1032,1.484221771
1033,2.504013733
1034,1.972623941
1035,1.976199781
1036,1.987317934
1037,2.553949997
1038,3.657648081
1039,3.922511743
1040,2.549777207
1041,2.568061352
1042,
1043,2.548722107
1044,2.33341346
1045,3.531501642
1046,2.22113734
1047,3.183940888
1048,3.347113817
1049,4.149376782
1050,
1051,2.584894391
1052,2.737136826
1053,2.531510306
1054,2.972909958
1055,3.219876723
1056,2.837509247
1057,2.430676558
1058,3.837034648
1059,1.861353116
1060,2.620736603
1061,1.975168177
1062,3.149720656
1063,2.929725055
1064,5.240221768
1065,3.192744935
1066,1.877553495
1067,3.302844621
1068,3.61084054
1069,2.687604426
1070,2.846469366
1071,3.745234048
1072,2.483608499
1073,2.444974513
1074,2.389435385
1075,
1076,2.402898089
1077,2.745034409
1078,2.171124585
1079,3.732737263
1080,0.006182488
1081,
1082,3.861353116
1083,2.285278305
1084,2.645641566
1085,2.441761122
1086,2.546434762
1087,2.574235411
1088,2.166782198
1089,2.302452423
1090,2.467234568
1091,2.770456553
1092,1.786596733
1093,2.890846296
1094,1.814700681
1095,2.852985728
1096,2.987882759
1097,1.8294828
1098,3.292029674
1099,2.628254519
1100,3.45092565
1101,2.08548089
1102,3.54395931
1103,
1104,2.084231688
1105,2.6748318
1106,3.23760468
1107,2.627421568
1108,2.380620834
1109,2.835439353
1110,2.813230427
1111,2.338041624
1112,3.294510057
1113,
1114,2.037736663
1115,3.601175465
1116,3.199947848
1117,
1118,2.820480977
1119,
1120,1.484221771
1121,2.904985511
1122,2.806832961
1123,1.7174611
1124,2.631585495
1125,2.699611281
1126,2.699382703
1127,2.58638514
1128,
1129,4.455045757
1130,2.102580527
1131,3.506308193
1132,1.325457725
1133,3.08964082
1134,2.302106776
1135,2.866920117
1136,2.586813428
1137,3.431858691
1138,
1139,2.601344924
1140,3.009862666
1141,2.697620987
1142,2.769420639
1143,1.113282753
1144,2.642575514
1145,3.292029674
1146,
1147,2.583232987
1148,3.149487261
1149,
1150,2.616354158
1151,2.215433429
1152,2.451505991
1153,1.858230804
1154,2.469935495
1155,2.872495724
1156,2.299815139
1157,2.501167093
1158,2.853346157
1159,3.070415071
1160,2.73995026
1161,2.867531748
1162,2.388678007
1163,2.205902847
1164,2.61163324
1165,2.117094292
1166,3.648525962
1167,3.025369062
1168,2.064501761
1169,2.8590457
1170,2.538047937
1171,
1172,3.368425642
1173,2.782744961
1174,2.547849265
1175,2.319018003
1176,2.423765571
1177,
1178,3.348013565
1179,2.109804596
1180,
1181,
1182,3.293890889
1183,3.259340373
1184,2.018553515
1185,2.37456659
1186,4.724670363
1187,2.556298184
1188,3.25122584
1189,2.219484064
1190,3.927947634
1191,2.752181023
1192,2.045428904
1193,2.65403257
1194,1.934995738
1195,2.003999598
1196,2.579797533
1197,2.788282304
1198,2.974635869
1199,3.824228351
1200,2.490254706
1201,2.62373661
1202,2.489021129
1203,3.436294026
1204,
1205,
1206,3.930504932
1207,3.126168334
1208,2.665940873
1209,2.643829281
1210,2.192981133
1211,
1212,3.847584648
1213,0.695481444
1214,2.549740552
1215,2.416228653
1216,2.908140768
1217,2.362622764
1218,2.773589332
1219,2.462462875
1220,2.574274344
1221,3.138506368
1222,2.148471973
1223,2.212444832
1224,3.263149792
1225,2.822515003
1226,2.365212389
1227,2.35722015
1228,3.029293295
1229,2.498086653
1230,3.355041193
1231,2.807889934
1232,2.91072372
1233,4.137379678
1234,3.058377088
1235,2.430676558
1236,2.797334233
1237,3.355187433
1238,2.802391933
1239,2.175200683
1240,4.400634852
1241,2.492321232
1242,3.029116652
1243,2.671130749
1244,1.743169939
1245,3.170308176
1246,2.338793916
1247,3.271400093
1248,2.571301427
1249,1.888702345
1250,1.893622701
1251,2.793485944
1252,3.816370149
1253,2.328886005
1254,2.251324403
1255,2.655440526
1256,
1257,2.846269168
1258,2.214917566
1259,2.749279135
1260,3.896384187
1261,2.354192541
1262,3.503204574
1263,2.891354708
1264,2.503178627
1265,2.07897357
1266,
1267,
1268,2.090356265
1269,1.567971574
1270,
1271,
1272,3.293890889
1273,2.318243388
1274,2.047045896
1275,1.996500893
1276,1.903865592
1277,3.400419925
1278,2.463602915
1279,3.706293433
1280,2.622298289
1281,2.622428274
1282,2.287000372
1283,
1284,1.722706232
1285,
1286,2.934687402
1287,
1288,1.788946585
1289,2.645529322
1290,3.292029674
1291,2.346758753
1292,1.928181224
1293,5.033855413
1294,2.392578402
1295,3.109126651
1296,2.560716382
1297,
1298,2.672997656
1299,2.591688546
1300,2.344558782
1301,
1302,2.233828413
1303,3.187385282
1304,3.549880107
1305,2.115794048
1306,2.381170698
1307,2.863828567
1308,3.309259622
1309,3.42315176
1310,1.78356842
1311,2.921224134
1312,2.104801403
1313,2.116723818
1314,2.852345236
1315,2.200452373
1316,2.82341568
1317,1.91650732
1318,2.866920117
1319,2.605427441
1320,2.754780802
1321,2.804436448
1322,2.807984011
1323,2.568263294
1324,3.148903966
1325,2.623687435
1326,3.292029674
1327,2.442376559
1328,3.431335725
1329,2.710096206
1330,2.022649889
1331,3.227328048
1332,2.855108491
1333,2.289392674
1334,3.189243839
1335,5.137492615
1336,3.601293163
1337,1.887306407
1338,4.154158974
1339,3.251388296
1340,3.421619694
1341,2.850953455
1342,2.66706553
1343,3.308817767
1344,1.657579661
1345,2.673641786
1346,2.449504282
1347,2.097842462
1348,2.257706618
1349,4.042488783
1350,1.722706232
1351,2.332833558
1352,
1353,1.488765374
1354,4.451827633
1355,2.997468581
1356,2.90726219
1357,2.531610387
1358,2.547242311
1359,2.639690005
1360,2.641742675
1361,2.339353046
1362,2.438402841
1363,2.033487183
1364,2.250322045
1365,2.238541592
1366,2.678243683
1367,3.722706232
1368,
1369,2.641627774
1370,
1371,2.347301177
1372,
1373,2.793354071
1374,2.505750137
1375,4.684591292
1376,3.458403547
1377,2.74817715
1378,2.520391566
1379,3.186194358
1380,2.209061955
1381,2.911864936
1382,1.721877089
1383,2.351453509
1384,2.266547945
1385,3.187385282
1386,2.283661385
1387,2.583442185
1388,2.226565505
1389,
1390,4.266017982
1391,
1392,2.674335525
1393,3.348671051
1394,2.622927583
1395,2.43903133
1396,4.01143571
1397,
1398,2.86160913
1399,1.928678324
1400,2.57444098
1401,2.777552604
1402,3.655402829
1403,2.353421406
1404,1.990870224
1405,2.033114592
1406,2.479952373
1407,2.679495053
1408,2.15489603
1409,3.595963773
1410,3.269893264
1411,2.006843314
1412,
1413,3.199947848
1414,3.975243334
1415,4.421159755
1416,2.978150763
1417,3.25263296
1418,2.187589009
1419,2.964223918
1420,2.235277009
1421,2.736328708
1422,3.240877165
1423,1.795462353
1424,2.54077741
1425,2.962940037
1426,2.978053872
1427,3.123499018
1428,2.256042988
1429,2.426105979
1430,2.588700921
1431,2.292029674
1432,2.876605697
1433,
1434,2.479971149
1435,2.415185899
1436,
1437,2.753637059
1438,
1439,2.091119605
1440,2.258628198
1441,3.094987073
1442,3.090435082
1443,2.101197391
1444,2.100515166
1445,3.519835349
1446,2.390447596
1447,2.731471194
1448,2.70204243
1449,2.040923794
1450,2.981021959
1451,3.260448283
1452,2.258522111
1453,2.120170566
1454,2.592512067
1455,2.070445168
1456,1.987568955
1457,2.521244265
1458,2.98997808
1459,2.215570818
1460,3.023823428
1461,2.391767362
1462,3.766194938
1463,2.694106197
1464,2.46313967
1465,3.436828591
1466,2.419841513
1467,4.198318144
1468,2.060347195
1469,2.341561386
1470,3.878280823
1471,3.149043076
1472,1.938797308
1473,3.007347898
1474,2.209128439
1475,3.69801491
1476,2.066028969
1477,2.890565349
1478,3.127246718
1479,0.617652533
1480,2.512840641
1481,
1482,2.464259311
1483,2.318415921
1484,3.405387058
1485,2.00463765
1486,2.709580405
1487,2.594004337
1488,2.779779823
1489,3.835988985
1490,2.297714252
1491,2.964414945
1492,2.72286078
1493,2.609451519
1494,2.172502297
1495,1.891816173
1496,1.534401701
1497,
1498,2.158724777
1499,2.460820895
1500,
1501,4.289914774
1502,2.801295219
1503,2.689010137
1504,1.557489376
1505,
1506,2.475938027
1507,5.328234182
1508,
1509,1.917741973
1510,1.926737508
1511,3.044057443
1512,3.323007156
1513,1.98234281
1514,4.418246972
1515,
1516,2.332162411
1517,1.804296258
1518,3.00266939
1519,2.599504547
1520,3.455707745
1521,
1522,4.405312427
1523,2.959748996
1524,2.83782073
1525,2.653190471
1526,2.840213961
1527,1.813670094
1528,3.852839959
1529,2.154009282
1530,2.550873095
1531,2.326840271
1532,3.467637078
1533,2.112381636
1534,2.906149481
1535,
1536,2.678009558
1537,3.754214948
1538,
1539,
1540,3.070415071
1541,
1542,5.394869577
1543,2.331214968
1544,3.48293603
1545,3.664117091
1546,2.999384924
1547,2.891197975
1548,
1549,
1550,3.099640751
1551,3.103011153
1552,
1553,2.194813037
1554,2.730687858
1555,1.937558714
1556,2.706178299
1557,2.576023558
1558,2.219570483
1559,2.653030489
1560,2.485360791
1561,0.673465475
1562,2.451407375
1563,2.964576882
1564,3.459982767
1565,3.157277573
1566,3.220002761
1567,2.282033348
1568,3.017909836
1569,1.358270027
1570,1.950935191
1571,2.850310665
1572,3.369110258
1573,2.135358688
1574,2.213780621
1575,3.550438213
1576,2.857692918
1577,2.351895149
1578,2.313515783
1579,2.281008886
1580,1.990970814
1581,2.514607336
1582,
1583,3.483630258
1584,
1585,2.552992458
1586,2.866304018
1587,2.832078435
1588,2.98189209
1589,3.29423352
1590,2.329861223
1591,
1592,2.107710093
1593,4.771606393
1594,2.563773414
1595,1.911826488
1596,3.078990511
1597,2.564477
1598,3.226830942
1599,3.865058936
1600,
1601,2.790774073
1602,2.686016548
1603,3.174349999
1604,3.305168707
1605,2.133247657
1606,2.641271476
1607,1.593692641
1608,3.436497035
1609,2.514385492
1610,2.763056054
1611,4.921700311
1612,1.836562818
1613,3.356342242
1614,3.556263375
1615,1.913340907
1616,3.670750375
1617,2.248956878
1618,3.215328338
1619,2.30056932
1620,
1621,2.476334944
1622,2.284095126
1623,3.637389213
1624,
1625,
1626,
1627,
1628,2.414357456
1629,2.576435037
1630,2.570798571
1631,2.596028097
1632,2.36124638
1633,3.531064822
1634,2.623244349
1635,2.830579013
1636,3.070451298
1637,3.364136616
1638,2.731469899
1639,1.680816962
1640,2.179089029
1641,3.255492083
1642,2.53945551
1643,3.79726816
1644,2.701553226
1645,3.093701804
1646,
1647,0.846477827
1648,2.133656215
1649,3.372864858
1650,2.936143162
1651,2.307499177
1652,2.88859609
1653,2.852648726
1654,2.799975838
1655,2.66970149
1656,5.316398874
1657,2.322389605
1658,2.154087677
1659,2.657220434
1660,2.694630268
1661,
1662,3.4932507
1663,2.729657224
1664,2.246029867
1665,1.942502488
1666,2.702656214
1667,2.515759114
1668,3.078953793
1669,2.969436383
1670,2.412773068
1671,2.149457378
1672,
1673,1.327843391
1674,3.24107791
1675,3.132914748
1676,2.716850228
1677,2.318839685
1678,2.923814877
1679,2.835988985
1680,2.336896461
1681,
1682,2.912289528
1683,3.044354026
1684,2.5651891
1685,2.275978696
1686,3.308597164
1687,2.600797424
1688,0.591993058
1689,
1690,2.521708155
1691,3.417994493
1692,2.68238811
1693,2.63007913
1694,2.764133153
1695,3.030846896
1696,2.473893208
1697,2.567940024
1698,3.118868246
1699,2.690431261
1700,3.331583196
1701,2.207953385
1702,2.053519064
1703,3.227203754
1704,1.304729823
1705,2.398310366
1706,2.615599665
1707,2.891036358
1708,3.165206356
1709,2.553360866
1710,2.909554134
1711,2.486073337
1712,2.033646305
1713,2.91950534
1714,2.380009271
1715,1.76435728
1716,2.419850089
1717,1.98944747
1718,3.253818693
1719,3.272106233
1720,
1721,2.658199437
1722,2.255751613
1723,2.855340046
1724,2.436859046
1725,1.484221771
1726,1.765070342
1727,1.861353116
1728,3.884671812
1729,2.264036615
1730,1.856402747
1731,3.166680137
1732,2.184805598
1733,3.14612661
1734,2.961969494
1735,2.292029674
1736,
1737,2.297748894
1738,2.394541838
1739,3.005300973
1740,2.089991679
1741,2.860742072
1742,
1743,2.41812391
1744,1.810955131
1745,3.133332771
1746,2.857041965
1747,2.450056831
1748,2.739316226
1749,
1750,1.484221771
1751,2.944168483
1752,2.651862144
1753,2.933474811
1754,3.276094516
1755,3.076173338
1756,2.186675257
1757,2.73577886
1758,2.771342078
1759,
1760,2.764868963
1761,2.565854985
1762,2.448903262
1763,2.618120592
1764,3.454266756
1765,2.601734823
1766,2.959194009
1767,2.878574451
