,consumer_model
419,0
420,2.515995403
421,0
422,0
423,0
424,0
425,0.080331084
426,0
427,
428,0.63223854
429,0
430,1.231887779
431,0
432,0
433,0
434,0
435,3.96208271
436,0
437,0.75859046
438,9.81225884
439,0.405721195
440,1.366144781
441,0
442,0.175692976
443,0.21687246
444,0
445,0
446,0
447,
448,0.219031361
449,0
450,0.073079668
451,3.382376013
452,0
453,0
454,0
455,0
456,0
457,1.852196357
458,0
459,2.271553666
460,0.182751774
461,0
462,
463,inf
464,0
465,0
466,0
467,0
468,0.222073973
469,1.570828711
470,0.155974632
471,0
472,0.415436204
473,0.489046284
474,0
475,0.072432748
476,0.064847378
477,inf
478,0
479,0
480,0
481,0
482,0
483,0
484,0.748028269
485,0
486,0
487,2.203643491
488,3.481809628
489,0
490,0
491,
492,
493,0
494,0
495,0.190647511
496,0.311567775
497,0
498,0
499,0
500,0.323076561
501,0
502,1.637084077
503,0.648063181
504,6.140124059
505,0.377063287
506,0
507,
508,0.622735171
509,1.372183368
510,0
511,
512,0
513,0
514,0
515,0.39524039
516,0.455163403
517,
518,0
519,0
520,0.3088096
521,0
522,0
523,0
524,0
525,0
526,0
527,0.779765124
528,0
529,1.564516597
530,6.254026434
531,0
532,0
533,
534,0
535,0
536,0
537,
538,3.719624379
539,inf
540,
541,0
542,0.543031686
543,0
544,0
545,0
546,0.632796254
547,0
548,0
549,0
550,0.085717051
551,0
552,0.088824814
553,0
554,0.795141408
555,0
556,0
557,1.581799776
558,0
559,1.402280422
560,0.087259937
561,2.642794635
562,0
563,0
564,0.313688881
565,0
566,0
567,7.665448709
568,0.375386522
569,0
570,0
571,1.037381795
572,1.321698419
573,0
574,0.933199698
575,1.186541855
576,
577,0
578,0
579,0.222777928
580,1.627322647
581,1.111250754
582,8.946127602
583,0
584,0
585,0.43245525
586,1.428923984
587,0
588,0
589,0.278484549
590,5.890312559
591,0.117760761
592,0
593,3.03267946
594,0
595,0.862827769
596,0
597,inf
598,4.045578682
599,0
600,
601,0
602,0
603,1.689094924
604,0
605,0.723469222
606,0
607,0
608,0
609,0
610,0.306027555
611,0
612,2.792462496
613,0.506890816
614,0.103168274
615,0.422482965
616,0
617,1.660201448
618,inf
619,0.443748563
620,0
621,2.728501755
622,1.388559373
623,0
624,1.157393314
625,0
626,0.256914392
627,
628,0
629,4.239113176
630,0
631,0
632,0
633,0
634,
635,0.172898866
636,0
637,0
638,0
639,
640,5.643997485
641,1.738557264
642,0
643,0
644,
645,1.159446776
646,0.93554324
647,0
648,0.75033869
649,0
650,3.493769135
651,
652,0
653,0.17885888
654,0
655,0
656,0
657,
658,0
659,1.724731054
660,0.545983719
661,1.836466922
662,0
663,0
664,0
665,2.087207868
666,0
667,0.465561598
668,0
669,0
670,1.398214396
671,0
672,2.337889919
673,0
674,0
675,0.042170258
676,0
677,0
678,0
679,0
680,inf
681,0.08603333
682,0
683,0
684,6.389643969
685,0
686,0
687,0.397645194
688,0
689,
690,1.355487269
691,1.952236142
692,17.22465973
693,0
694,0
695,0.832506
696,1.053388185
697,0
698,0
699,inf
700,
701,0
702,
703,3.613534519
704,0
705,1.271796591
706,0
707,0
708,0
709,
710,0.936649318
711,0
712,0
713,0
714,0
715,0
716,2.599332877
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,
726,0
727,0
728,1.560077921
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,
738,inf
739,0.610838548
740,5.528704162
741,0
742,0
743,1.445633411
744,4.041392975
745,0.477835631
746,0
747,0
748,0
749,0.157234773
750,1.862335536
751,0
752,0
753,1.525993687
754,0
755,0
756,inf
757,11.71828287
758,0.325610324
759,0
760,0.307763823
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0.873032242
769,0
770,0
771,0.154555193
772,
773,2.124289253
774,0
775,0
776,0
777,0
778,0
779,0
780,0.67960415
781,0.603973696
782,0
783,0
784,0
785,1.920491957
786,0
787,0
788,0
789,
790,0
791,0
792,2.870812523
793,0
794,0
795,inf
796,0
797,0.446646112
798,
799,0
800,0
801,0
802,0
803,10.14413789
804,0.200933076
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,9.660331321
813,1.392450651
814,0.341199348
815,0
816,0
817,inf
818,658.5216275
819,0
820,
821,0
822,0
823,0
824,0.997962148
825,0.842658425
826,0
827,0.647424139
828,0
829,
830,
831,0.911409153
832,0
833,1.513381875
834,0
835,0.989415153
836,1.76439534
837,0
838,0.586483481
839,0.395353393
840,0.279618167
841,2.410775617
842,0
843,
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0.426426414
853,3.244052865
854,0.75978076
855,0.658514026
856,0
857,0
858,2.484340416
859,0.236227006
860,0
861,0
862,0.332323368
863,0.443379979
864,0
865,0
866,0
867,0
868,0
869,2.261082888
870,0
871,0
872,0.365601736
873,0.805154798
874,inf
875,2.469131109
876,0
877,0
878,0
879,0
880,0
881,0.30282291
882,0
883,2.924245559
884,inf
885,0
886,0
887,0
888,0
889,
890,0
891,0
892,1.589661762
893,1.769649807
894,3.160257203
895,0.37634798
896,0.163670374
897,0
898,0
899,3.640268205
900,0
901,0
902,0.466872441
903,0
904,0
905,0
906,
907,0
908,0
909,0
910,0.101228452
911,14.44379324
912,0.368835141
913,0
914,
915,0.259038819
916,0
917,1.021662399
918,0.312504879
919,8.802215226
920,1.813698801
921,0
922,0
923,0
924,0
925,0
926,inf
927,0
928,0
929,0.319322744
930,0
931,0
932,0
933,
934,
935,0
936,0
937,0
938,0.435903048
939,0.119876849
940,0
941,0
942,0.198928394
943,0
944,0
945,
946,0
947,0.755453773
948,0
949,0
950,0.83486207
951,0
952,
953,0
954,2.553965996
955,0
956,inf
957,inf
958,0.539659108
959,0.155065994
960,
961,0
962,0
963,7.187665092
964,0
965,0
966,
967,0
968,0
969,0
970,0
971,0
972,0
973,6.810974787
974,0
975,0.934435671
976,0.954024579
977,inf
978,0
979,0
980,0.318884504
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,
990,0
991,1.580210678
992,0
993,inf
994,0
995,0
996,0.167581721
997,0
998,0
999,11.00580638
1000,0.095429221
1001,0
1002,1.807394661
1003,inf
1004,0.225580821
1005,0
1006,
1007,0
1008,0
1009,0
1010,1.397571857
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0.33148838
1020,0
1021,13.46406909
1022,0.717161294
1023,0
1024,0
1025,0
1026,1.353691677
1027,3.264641071
1028,0
1029,0.518433868
1030,0
1031,14.68950182
1032,0
1033,0
1034,0
1035,0.444823003
1036,0
1037,0
1038,0
1039,0.480755824
1040,0
1041,0
1042,
1043,2.017182825
1044,5.518085246
1045,0.175920365
1046,0
1047,0.599128414
1048,0
1049,0.277298531
1050,
1051,0.184493945
1052,0.654447889
1053,0
1054,0
1055,0.444331325
1056,0
1057,0
1058,0.121722585
1059,3.074520527
1060,0.111075335
1061,3.049985641
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,4.257922079
1071,6.371286554
1072,0
1073,0
1074,5.598231591
1075,
1076,0
1077,0.596580874
1078,0
1079,3.296112747
1080,0
1081,
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,4.28329057
1098,0
1099,0.045024133
1100,1.298494497
1101,1.303495561
1102,0
1103,
1104,0
1105,0
1106,0.51697759
1107,0
1108,0
1109,0
1110,5.367381269
1111,0.403100837
1112,0
1113,
1114,0
1115,3.907501019
1116,0.826912528
1117,
1118,0.242409949
1119,
1120,0
1121,0
1122,0.291267186
1123,0
1124,0.68468432
1125,0
1126,1.12239218
1127,0
1128,
1129,0
1130,0.216223876
1131,0.370056565
1132,4.317578942
1133,0
1134,0
1135,0
1136,0
1137,0
1138,inf
1139,0
1140,0
1141,0
1142,0
1143,0
1144,0
1145,0
1146,
1147,0.31347462
1148,0
1149,
1150,0
1151,0.50803512
1152,0.575538638
1153,0
1154,0
1155,0
1156,0
1157,3.019047659
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,6.920183138
1166,0
1167,0
1168,0
1169,0
1170,0.798693512
1171,
1172,0
1173,0
1174,50.22063731
1175,1.356672213
1176,3.786747897
1177,
1178,0.163320038
1179,0.139616648
1180,
1181,
1182,0
1183,0
1184,0
1185,1.650462266
1186,0
1187,0.312066043
1188,0
1189,8.082739459
1190,1.147630819
1191,2.41540919
1192,1.155826807
1193,2.986238675
1194,20.21362291
1195,0
1196,0
1197,0
1198,0
1199,0
1200,0
1201,2.156203894
1202,0
1203,0
1204,inf
1205,
1206,0.02609255
1207,0.223633885
1208,0.536655597
1209,0.179207701
1210,0
1211,
1212,0
1213,0
1214,0
1215,2.148336411
1216,1.585665932
1217,0
1218,0.189205965
1219,0.639335097
1220,0
1221,0
1222,0.210502373
1223,0
1224,0
1225,0
1226,0
1227,0
1228,4.051977681
1229,0.988300453
1230,0
1231,0
1232,0.335367751
1233,1.156864476
1234,0
1235,0
1236,0
1237,2.274197186
1238,3.012587341
1239,3.288850901
1240,15.7625492
1241,0
1242,0
1243,0.918193546
1244,0
1245,0
1246,0
1247,0.037090429
1248,0
1249,3.030000136
1250,0.322744463
1251,0
1252,0
1253,0.829828848
1254,0
1255,0
1256,
1257,1.771433004
1258,0.990407006
1259,0
1260,0
1261,0.18670077
1262,0
1263,0
1264,0
1265,0
1266,
1267,inf
1268,0
1269,7.702661326
1270,
1271,
1272,1.737388564
1273,0
1274,0.171578012
1275,2.21323154
1276,0
1277,0
1278,1.665232893
1279,0
1280,0
1281,0
1282,0
1283,
1284,6.93638553
1285,inf
1286,0
1287,
1288,0
1289,0.079026961
1290,0
1291,0
1292,7.679554642
1293,0
1294,0
1295,0
1296,0.024831456
1297,
1298,0
1299,0
1300,0.164011544
1301,
1302,0
1303,0
1304,0
1305,0.903174263
1306,0
1307,1.423836143
1308,0
1309,0
1310,0
1311,0.16469291
1312,0.373987526
1313,0.940868657
1314,0
1315,0
1316,0.448412222
1317,0
1318,0
1319,0
1320,0
1321,0.268091952
1322,0
1323,0.060605775
1324,0.131655411
1325,0
1326,6.114002557
1327,1.523950383
1328,0
1329,0
1330,0
1331,1.566460929
1332,2.243464008
1333,0
1334,0
1335,0
1336,4.7105984
1337,0
1338,0
1339,0
1340,0
1341,0
1342,0.283665727
1343,0
1344,0
1345,0
1346,0
1347,0.303103385
1348,0
1349,0.292085957
1350,23.10245521
1351,0
1352,
1353,0
1354,2.035675768
1355,0
1356,2.836537027
1357,1.155976043
1358,0
1359,0
1360,0
1361,1.462939636
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,inf
1369,0
1370,
1371,0
1372,inf
1373,0
1374,0
1375,0
1376,1.633961683
1377,0
1378,30.2033379
1379,0
1380,2.252016035
1381,2.719599219
1382,0
1383,0
1384,3.18052332
1385,0
1386,0.472204223
1387,0
1388,0
1389,inf
1390,0
1391,
1392,0
1393,1.483566268
1394,0.03991677
1395,1.215468864
1396,1.462398325
1397,
1398,0
1399,0.350660245
1400,0.22229169
1401,0.39600849
1402,0
1403,1.320364221
1404,0
1405,0
1406,0
1407,0
1408,1.254217349
1409,0
1410,0
1411,0
1412,inf
1413,0
1414,0
1415,0
1416,0
1417,1.405258555
1418,0
1419,0
1420,0.240051383
1421,0
1422,0
1423,0.876843192
1424,0
1425,0
1426,0
1427,0
1428,0
1429,0.229412762
1430,0.368445315
1431,0
1432,0
1433,
1434,2.842609154
1435,0
1436,
1437,2.832491615
1438,
1439,0
1440,0
1441,0
1442,0.712026655
1443,0
1444,0.366184803
1445,0.189799444
1446,0.791563535
1447,0
1448,0
1449,0
1450,0
1451,0.706145175
1452,0
1453,0
1454,0
1455,0
1456,0
1457,0
1458,2.756329571
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0.983132696
1465,0
1466,0.072600321
1467,1.465685459
1468,0
1469,0
1470,0
1471,0
1472,0
1473,0
1474,0.576374832
1475,0
1476,0
1477,0.204246135
1478,2.765223675
1479,0.504010193
1480,0
1481,inf
1482,0
1483,1.727606252
1484,0
1485,3.6314911
1486,0
1487,0.106360505
1488,0.257339103
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0
1495,0
1496,1.135615955
1497,
1498,0
1499,0.447611702
1500,
1501,0
1502,0
1503,0
1504,0
1505,
1506,0
1507,2.42652653
1508,inf
1509,2.369647982
1510,0
1511,0.211048078
1512,0.170298053
1513,0
1514,0
1515,inf
1516,0
1517,1.621456357
1518,0.285922301
1519,0
1520,0.604550485
1521,
1522,0
1523,0.275538407
1524,0
1525,0
1526,0
1527,3.234500518
1528,0.783959868
1529,0.390705846
1530,0
1531,0.138912646
1532,0
1533,0
1534,0
1535,
1536,0.253245439
1537,0
1538,inf
1539,
1540,0
1541,
1542,0
1543,0
1544,0
1545,0
1546,1.574078388
1547,0
1548,
1549,
1550,0
1551,0.138309903
1552,
1553,0.026074059
1554,0
1555,2.953597392
1556,0
1557,0
1558,0
1559,0
1560,0
1561,3.250385625
1562,0.559368421
1563,0
1564,0
1565,2.206664877
1566,0
1567,0
1568,0
1569,0
1570,0
1571,0
1572,0
1573,0
1574,0
1575,0
1576,9.088025104
1577,0
1578,1.216764883
1579,0.14984596
1580,0
1581,0
1582,
1583,0
1584,
1585,0.129339943
1586,0
1587,0
1588,0
1589,0
1590,0
1591,
1592,4.336914615
1593,1.173482261
1594,0.318880886
1595,0
1596,0
1597,0.811672475
1598,0
1599,0
1600,
1601,0
1602,0
1603,0
1604,0
1605,0
1606,0
1607,0
1608,0
1609,0.096619766
1610,0
1611,2.064634294
1612,0
1613,8.566492104
1614,0
1615,0
1616,0
1617,0
1618,0.478443662
1619,0
1620,inf
1621,0
1622,0
1623,1.717166327
1624,
1625,
1626,
1627,
1628,0.655918419
1629,0
1630,1.02309454
1631,0
1632,1.067845735
1633,0.489605836
1634,0
1635,0
1636,0.674453576
1637,1.589942847
1638,0.29930344
1639,0
1640,0
1641,0
1642,0
1643,0
1644,0.327027556
1645,0
1646,
1647,0
1648,2.682141726
1649,0
1650,0
1651,0
1652,1.67142254
1653,0
1654,0
1655,7.794119012
1656,1.131362579
1657,0.425779169
1658,0
1659,0.133984338
1660,0.106188378
1661,inf
1662,0
1663,0
1664,0
1665,0
1666,2.037795676
1667,0
1668,0
1669,0
1670,0
1671,0
1672,inf
1673,0
1674,0
1675,1.60297401
1676,0
1677,0
1678,0
1679,0
1680,0
1681,inf
1682,0
1683,0
1684,0
1685,0.257197288
1686,1.258900724
1687,0
1688,0.141143354
1689,
1690,0.271640985
1691,0
1692,0
1693,0.619546927
1694,1.867455811
1695,0
1696,0
1697,0.891417761
1698,0
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0.233777031
1705,0.082972463
1706,0
1707,0
1708,0
1709,1.036311397
1710,0
1711,1.419146639
1712,0
1713,0
1714,0
1715,0
1716,0
1717,0
1718,0
1719,0
1720,inf
1721,1.034756894
1722,0
1723,0.794324295
1724,11.12946465
1725,0
1726,0
1727,5.95553341
1728,0
1729,0
1730,0.502684526
1731,0.260840195
1732,0
1733,0.431356031
1734,0.643154592
1735,0
1736,
1737,0
1738,0
1739,0
1740,0
1741,0.247355595
1742,
1743,0
1744,0
1745,0
1746,0
1747,0
1748,0
1749,
1750,0
1751,0.348339092
1752,0.890509492
1753,0.470722343
1754,0
1755,0
1756,0
1757,0.96721157
1758,0.763395183
1759,
1760,0
1761,0
1762,0
1763,0
1764,0
1765,0
1766,0
1767,0.557888086
1768,0
1769,0
1770,2.963975185
1771,0.184308329
1772,inf
1773,0
1774,0.412827097
1775,1.22122791
1776,
1777,0
1778,0
1779,0
1780,0
1781,0
1782,2.541175432
1783,0.151769407
1784,
1785,7.382042226
1786,0.91386313
1787,0
1788,0.969852995
1789,0
1790,0
1791,0
1792,0
1793,0
1794,0
1795,0
1796,0.58935999
1797,
1798,0
1799,0
1800,0.788140117
1801,0
1802,0
1803,1.635063807
1804,0.15896644
1805,
1806,2.64933126
1807,0.591951691
1808,0.737919901
1809,1.112756957
1810,0
1811,0
1812,inf
1813,0
1814,0
1815,3.994016724
1816,0
1817,0
1818,177.6104832
1819,0
1820,0
1821,inf
1822,0.610547073
1823,0.780291827
1824,0
1825,0
1826,4.712452294
1827,0
1828,1.685228856
1829,0.016891327
1830,0
1831,0
1832,6.605046752
1833,0
1834,
1835,0
1836,0
1837,
1838,0
1839,0
1840,0
1841,0.375804444
1842,0
1843,2.722713274
1844,0
1845,0
1846,
1847,0.096513545
1848,0
1849,1.718307454
1850,0
1851,0.51423841
1852,0
1853,0
1854,2.036037652
1855,3.681456302
1856,3.163337558
1857,
1858,0.132337097
1859,0.576969565
1860,0
1861,inf
1862,0.282724732
1863,0.595238028
1864,
1865,1.306774034
1866,0
1867,0
1868,0.331107236
1869,0
1870,2.496942419
1871,0
1872,0.763792733
1873,0
1874,0
1875,8.496474379
1876,1.348669173
1877,0
1878,0
1879,0
1880,
1881,0
1882,0
1883,0
1884,0
1885,
1886,
1887,0
1888,1.424050794
1889,0
1890,1.50205265
1891,0.940106429
1892,0
1893,
1894,0
1895,0
1896,0
1897,0
1898,0.125943323
1899,0
1900,1.900536568
1901,0
1902,0
1903,0
1904,inf
1905,0.59078119
1906,0
1907,2.478380606
1908,0.698251856
1909,0
1910,0
1911,
1912,0.313123621
1913,0.348707717
1914,0.454000338
1915,0
1916,0
1917,0
1918,1.500311733
1919,0
1920,0
1921,0
1922,0.290103738
1923,0
1924,inf
1925,4.574333925
1926,0
1927,0.126596724
1928,
1929,2.508802083
1930,inf
1931,0
1932,0.559078853
1933,0.539028199
1934,0
1935,0
1936,0
1937,2.27184991
1938,0
1939,1.038018762
1940,7.360108784
1941,0
1942,0
1943,0
1944,1.973730303
1945,3.471615881
1946,0
1947,
1948,0.165721651
1949,0.478899969
1950,0
1951,
1952,0.324677598
1953,0.295275684
1954,0
1955,0.073466534
1956,2.70799937
1957,0
1958,0
1959,0
1960,0
1961,inf
1962,0.290896892
1963,1.896725511
1964,0.091808177
1965,0
1966,0
1967,0.978024379
1968,
1969,4.407364139
1970,0.780861164
1971,0
1972,0
1973,0
1974,0.961957562
1975,0.301381173
1976,
1977,0
1978,1.041202907
1979,4.060709379
1980,0.579772476
1981,1.281311878
1982,0.253608387
1983,0
1984,inf
1985,0
1986,0
1987,0.51029313
1988,0.183123309
1989,
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0.750357763
1999,0
2000,0
2001,0
2002,inf
2003,inf
2004,0.249729948
2005,0
2006,0
2007,0
2008,0.919368409
2009,0
2010,0
2011,0.260064843
2012,0
2013,0.509111742
2014,8.061889858
2015,0
2016,1.472339845
2017,0
2018,0
2019,0.135340794
2020,2.826542321
2021,0
2022,0.517986832
2023,0.935700066
2024,1.389086987
2025,0
2026,6.686275462
2027,0
2028,0
2029,0.108716478
2030,0
2031,0
2032,0.27806999
2033,0
2034,0.711590019
2035,1.006601647
2036,0
2037,0.167982834
2038,1.089269855
2039,0.365799123
2040,0
2041,0
2042,inf
2043,0
2044,0
2045,0
2046,0
2047,0.706331156
2048,0.602120574
2049,0
2050,0
2051,0
2052,2.271156324
2053,0
2054,0.287461949
2055,1.818311398
2056,0
2057,
2058,0
2059,0
2060,0
2061,1.560838276
2062,0
2063,1.266766901
2064,2.232319933
2065,0.265160105
2066,inf
2067,0
2068,0
2069,19.43185709
2070,0
2071,
2072,0.289352585
2073,0
2074,0.184678446
2075,0
2076,1.495472372
2077,0
2078,8.883531728
2079,0
2080,inf
2081,0.195043878
2082,0
2083,0
2084,0.216900125
2085,0
2086,0
2087,0.461054365
2088,5.837033345
2089,0
2090,0
2091,0
2092,0.79250651
2093,0
2094,inf
2095,10.35098925
2096,0
2097,0
2098,0.201038465
2099,0.443787361
2100,0
2101,0
2102,0
2103,
2104,0.513568169
2105,0.288684297
2106,2.672702403
2107,0
2108,inf
2109,
2110,0
2111,0
2112,0
2113,0
2114,0
2115,0
2116,0.544889922
2117,0.233943795
2118,0.715051957
2119,0.486644447
2120,0
2121,1.419509955
2122,0
2123,0
2124,1.27784919
2125,0
2126,0
2127,0
2128,0.397502351
2129,0
2130,0
2131,1.785866568
2132,0
2133,0.823709177
2134,0.575058815
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0.177317896
2141,7.807548601
2142,0
2143,0.619442892
2144,0
2145,0.321678712
2146,0
2147,0.121204141
2148,0
2149,
2150,0
2151,
2152,0
2153,0
2154,0
2155,0
2156,0.140721788
2157,2.858053141
2158,0
2159,
2160,3.492328099
2161,0
2162,inf
2163,0.833662401
2164,0
2165,0
2166,0
2167,0
2168,0
2169,
2170,0
2171,0
2172,0
2173,0
2174,0
2175,0.526276729
2176,0.722637484
2177,
2178,0.160823736
2179,1.947173884
2180,0
2181,
2182,0
2183,
2184,0.079555775
2185,0.584654124
2186,0
2187,0.328641101
2188,0
2189,0.357961154
2190,0.900190586
2191,0
2192,0
2193,0
2194,0
2195,1.293146834
2196,0
2197,0
2198,6.954740439
2199,0
2200,0.224289144
2201,0
2202,0
2203,0
2204,0
2205,0
2206,2.724731533
2207,0
2208,1.790265529
2209,0
2210,
2211,0
2212,0.372856053
2213,inf
2214,0
2215,0
2216,
2217,0
2218,0
2219,0
2220,0.434257372
2221,3.451664514
2222,0
2223,0
2224,0
2225,0
2226,0
2227,0.811581685
2228,
2229,0
2230,0
2231,0.165552919
2232,0
2233,0
2234,0.520470573
2235,0.246056751
2236,0
2237,0
2238,0
2239,0
2240,0
2241,0
2242,0
2243,0
2244,0
2245,0.127562015
2246,0
2247,3.080074352
2248,0
2249,0
2250,3.176180141
2251,0
2252,0
2253,0.847406544
2254,0
2255,0
2256,0
2257,0
2258,
2259,0
2260,0
2261,0.61906228
2262,
2263,0.161965632
2264,
2265,0.514951226
2266,0
2267,0
2268,0
2269,1.173059738
2270,0.19076595
2271,0
2272,0.308250257
2273,0
2274,0
2275,0
2276,0.200306525
2277,0.313648558
2278,1.600403945
2279,0.994434149
2280,0
2281,0.172579593
2282,0
2283,
2284,0
2285,0
2286,0
2287,0
2288,1.596441765
2289,0
2290,0
2291,0.222913092
2292,0
2293,0
2294,0
2295,4.387973131
2296,1.373193302
2297,0
2298,0
2299,0
2300,0
2301,1.026920214
2302,4.171283928
2303,
2304,0
2305,
2306,0
2307,0.528513364
2308,3.307535507
2309,0
2310,0.884724529
2311,1.326036868
2312,0
2313,0.432057705
2314,0.129090396
2315,0.185742674
2316,0
2317,0
2318,1.181196704
2319,0.218369591
2320,0
2321,0.407644187
2322,0
2323,inf
2324,0
2325,0
2326,0
2327,0
2328,0
2329,0
2330,0.607797791
2331,0.476221384
2332,0
2333,2.280585924
2334,0
2335,1.270568585
2336,4.595871187
2337,
2338,1.329436584
2339,0
2340,
2341,
2342,4.518254987
2343,0
2344,
2345,0
2346,0
2347,0
2348,0.502477938
2349,0
2350,0
2351,1.335774434
2352,0
2353,2.660019092
2354,8.300616389
2355,0
2356,0
2357,
2358,inf
2359,0
2360,0
2361,1.151587945
2362,0.44549846
2363,2.555509831
2364,0
2365,0
2366,0
2367,0.871598264
2368,0.378798364
2369,0
2370,0
2371,0
2372,0
2373,0
2374,4.626763182
2375,0
2376,0
2377,0
2378,0
2379,0
2380,0
2381,0.145551482
2382,3.043281619
2383,3.18527403
2384,0
2385,0
2386,0
2387,0
2388,0
2389,0
2390,
2391,2.774237404
2392,0
2393,0
2394,0
2395,0
