,click_model
458,0
459,1.285714286
460,0.058823529
461,0
462,
463,inf
464,0
465,0
466,0
467,0
468,0.105263158
469,0.6
470,0.071428571
471,0
472,0.225806452
473,0.285714286
474,0
475,0.03125
476,0.03125
477,inf
478,0
479,0
480,0
481,0
482,0
483,0
484,0.3
485,0
486,0
487,1
488,2.166666667
489,0
490,0
491,
492,
493,0
494,0
495,0.090909091
496,0.2
497,0
498,0
499,0
500,0.25
501,0
502,0.8
503,0.265306122
504,5
505,0.181818182
506,0
507,
508,0.277777778
509,1
510,0
511,
512,0
513,0
514,0
515,0.2
516,0.333333333
517,
518,0
519,0
520,0.142857143
521,0
522,0
523,0
524,0
525,0
526,0
527,0.368421053
528,0
529,1.333333333
530,3
531,0
532,0
533,
534,0
535,0
536,0
537,
538,1.333333333
539,inf
540,
541,0
542,0.4
543,0
544,0
545,0
546,0.384615385
547,0
548,0
549,0
550,0.052631579
551,0
552,0.026315789
553,0
554,0.363636364
555,0
556,0
557,0.888888889
558,0
559,0.666666667
560,0.045454545
561,1.75
562,0
563,0
564,0.15
565,0
566,0
567,8
568,0.153846154
569,0
570,0
571,0.333333333
572,0.5
573,0
574,0.5
575,1
576,
577,0
578,0
579,0.090909091
580,0.8
581,0.666666667
582,3.833333333
583,0
584,0
585,0.222222222
586,0.916666667
587,0
588,0
589,0.142857143
590,3
591,0.052631579
592,0
593,2.5
594,0
595,0.461538462
596,0
597,inf
598,2
599,0
600,
601,0
602,0
603,1
604,0
605,0.428571429
606,0
607,0
608,0
609,0
610,0.125
611,0
612,1.846153846
613,0.5
614,0.052631579
615,0.181818182
616,0
617,1.125
618,inf
619,0.166666667
620,0
621,1
622,0.636363636
623,0
624,0.75
625,0
626,0.142857143
627,
628,0
629,1.666666667
630,0
631,0
632,0
633,0
634,
635,0.1
636,0
637,0
638,0
639,
640,3
641,1.5
642,0
643,0
644,
645,0.6
646,0.333333333
647,0
648,0.333333333
649,0
650,3.333333333
651,
652,0
653,0.095238095
654,0
655,0
656,0
657,
658,0
659,0.777777778
660,0.315789474
661,0.666666667
662,0
663,0
664,0
665,1.666666667
666,0
667,0.333333333
668,0
669,0
670,0.777777778
671,0
672,1
673,0
674,0
675,0.013422819
676,0
677,0
678,0
679,0
680,inf
681,0.032258065
682,0
683,0
684,2
685,0
686,0
687,0.142857143
688,0
689,
690,0.8
691,1
692,9
693,0
694,0
695,0.5
696,1
697,0
698,0
699,inf
700,
701,0
702,
703,2.647058824
704,0
705,0.8
706,0
707,0
708,0
709,
710,0.363636364
711,0
712,0
713,0
714,0
715,0
716,3
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,
726,0
727,0
728,1
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,
738,inf
739,0.375
740,3
741,0
742,0
743,0.666666667
744,2.714285714
745,0.25
746,0
747,0
748,0
749,0.0625
750,1
751,0
752,0
753,1
754,0
755,0
756,inf
757,4.666666667
758,0.181818182
759,0
760,0.125
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0.428571429
769,0
770,0
771,0.071428571
772,
773,0.8
774,0
775,0
776,0
777,0
778,0
779,0
780,0.333333333
781,0.25
782,0
783,0
784,0
785,1.043478261
786,0
787,0
788,0
789,
790,0
791,0
792,2
793,0
794,0
795,inf
796,0
797,0.166666667
798,
799,0
800,0
801,0
802,0
803,5.666666667
804,0.125
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,7
813,0.634146341
814,0.142857143
815,0
816,0
817,inf
818,1
819,0
820,
821,0
822,0
823,0
824,0.555555556
825,0.25
826,0
827,0.333333333
828,0
829,
830,
831,0.466666667
832,0
833,1
834,0
835,0.555555556
836,1
837,0
838,0.333333333
839,0.25
840,0.166666667
841,1.166666667
842,0
843,
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0.25
853,2
854,0.5
855,0.333333333
856,0
857,0
858,1
859,0.2
860,0
861,0
862,0.235294118
863,0.25
864,0
865,0
866,0
867,0
868,0
869,1.333333333
870,0
871,0
872,0.117647059
873,0.4
874,inf
875,1
876,0
877,0
878,0
879,0
880,0
881,0.181818182
882,0
883,1.5
884,inf
885,0
886,0
887,0
888,0
889,
890,0
891,0
892,1
893,0.933333333
894,1.25
895,0.214285714
896,0.083333333
897,0
898,0
899,1.6
900,0
901,0
902,0.333333333
903,0
904,0
905,0
906,
907,0
908,0
909,0
910,0.055555556
911,12
912,0.230769231
913,0
914,
915,0.166666667
916,0
917,0.4
918,0.142857143
919,4
920,1
921,0
922,0
923,0
924,0
925,0
926,inf
927,0
928,0
929,0.176470588
930,0
931,0
932,0
933,
934,
935,0
936,0
937,0
938,0.222222222
939,0.058823529
940,0
941,0
942,0.090909091
943,0
944,0
945,
946,0
947,0.5
948,0
949,0
950,0.5
951,0
952,
953,0
954,1.5
955,0
956,inf
957,inf
958,0.333333333
959,0.071428571
960,
961,0
962,0
963,3.5
964,0
965,0
966,
967,0
968,0
969,0
970,0
971,0
972,0
973,4
974,0
975,0.4
976,0.666666667
977,inf
978,0
979,0
980,0.2
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,
990,0
991,0.666666667
992,0
993,inf
994,0
995,0
996,0.0625
997,0
998,0
999,6.333333333
1000,0.058823529
1001,0
1002,1
1003,inf
1004,0.125
1005,0
1006,
1007,0
1008,0
1009,0
1010,1
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0.2
1020,0
1021,8
1022,0.25
1023,0
1024,0
1025,0
1026,0.75
1027,2
1028,0
1029,0.333333333
1030,0
1031,8
1032,0
1033,0
1034,0
1035,0.142857143
1036,0
1037,0
1038,0
1039,0.333333333
1040,0
1041,0
1042,
1043,1.111111111
1044,3.25
1045,0.1
1046,0
1047,0.333333333
1048,0
1049,0.2
1050,
1051,0.083333333
1052,0.357142857
1053,0
1054,0
1055,0.25
1056,0
1057,0
1058,0.111111111
1059,1
1060,0.0625
1061,1.416666667
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,2.333333333
1071,4
1072,0
1073,0
1074,2.333333333
1075,
1076,0
1077,0.333333333
1078,0
1079,2.666666667
1080,0
1081,
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,1.5
1098,0
1099,0.019230769
1100,0.75
1101,0.666666667
1102,0
1103,
1104,0
1105,0
1106,0.3
1107,0
1108,0
1109,0
1110,3
1111,0.166666667
1112,0
1113,
1114,0
1115,2.5
1116,0.5
1117,
1118,0.111111111
1119,
1120,0
1121,0
1122,0.142857143
1123,0
1124,0.333333333
1125,0
1126,0.666666667
1127,0
1128,
1129,0
1130,0.074074074
1131,0.25
1132,1
1133,0
1134,0
1135,0
1136,0
1137,0
1138,inf
1139,0
1140,0
1141,0
1142,0
1143,0
1144,0
1145,0
1146,
1147,0.153846154
1148,0
1149,
1150,0
1151,0.25
1152,0.285714286
1153,0
1154,0
1155,0
1156,0
1157,1.666666667
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,2.5
1166,0
1167,0
1168,0
1169,0
1170,0.444444444
1171,
1172,0
1173,0
1174,24.5
1175,0.615384615
1176,2
1177,
1178,0.090909091
1179,0.058823529
1180,
1181,
1182,0
1183,0
1184,0
1185,1
1186,0
1187,0.142857143
1188,0
1189,4.4
1190,1
1191,1.333333333
1192,0.416666667
1193,1.5
1194,9
1195,0
1196,0
1197,0
1198,0
1199,0
1200,0
1201,1
1202,0
1203,0
1204,inf
1205,
1206,0.016666667
1207,0.111111111
1208,0.25
1209,0.095238095
1210,0
1211,
1212,0
1213,0
1214,0
1215,1
1216,1
1217,0
1218,0.111111111
1219,0.333333333
1220,0
1221,0
1222,0.090909091
1223,0
1224,0
1225,0
1226,0
1227,0
1228,2.5
1229,0.5
1230,0
1231,0
1232,0.181818182
1233,1
1234,0
1235,0
1236,0
1237,1.333333333
1238,1.75
1239,1.5
1240,16
1241,0
1242,0
1243,0.428571429
1244,0
1245,0
1246,0
1247,0.024390244
1248,0
1249,1
1250,0.090909091
1251,0
1252,0
1253,0.375
1254,0
1255,0
1256,
1257,0.875
1258,0.555555556
1259,0
1260,0
1261,0.071428571
1262,0
1263,0
1264,0
1265,0
1266,
1267,inf
1268,0
1269,2.333333333
1270,
1271,
1272,1
1273,0
1274,0.057692308
1275,1
1276,0
1277,0
1278,0.833333333
1279,0
1280,0
1281,0
1282,0
1283,
1284,2
1285,inf
1286,0
1287,
1288,0
1289,0.04
1290,0
1291,0
1292,3
1293,0
1294,0
1295,0
1296,0.011111111
1297,
1298,0
1299,0
1300,0.08
1301,
1302,0
1303,0
1304,0
1305,0.4
1306,0
1307,1
1308,0
1309,0
1310,0
1311,0.090909091
1312,0.166666667
1313,0.333333333
1314,0
1315,0
1316,0.25
1317,0
1318,0
1319,0
1320,0
1321,0.125
1322,0
1323,0.029411765
1324,0.083333333
1325,0
1326,3.5
1327,0.785714286
1328,0
1329,0
1330,0
1331,1
1332,1
1333,0
1334,0
1335,0
1336,3
1337,0
1338,0
1339,0
1340,0
1341,0
1342,0.125
1343,0
1344,0
1345,0
1346,0
1347,0.111111111
1348,0
1349,0.25
1350,8
1351,0
1352,
1353,0
1354,2
1355,0
1356,2
1357,0.5
1358,0
1359,0
1360,0
1361,0.666666667
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,inf
1369,0
1370,
1371,0
1372,inf
1373,0
1374,0
1375,0
1376,1.333333333
1377,0
1378,16.5
1379,0
1380,1
1381,1.333333333
1382,0
1383,0
1384,1.25
1385,0
1386,0.2
1387,0
1388,0
1389,inf
1390,0
1391,
1392,0
1393,1
1394,0.024390244
1395,0.666666667
1396,1
1397,
1398,0
1399,0.142857143
1400,0.1
1401,0.1875
1402,0
1403,0.636363636
1404,0
1405,0
1406,0
1407,0
1408,0.5
1409,0
1410,0
1411,0
1412,inf
1413,0
1414,0
1415,0
1416,0
1417,1
1418,0
1419,0
1420,0.125
1421,0
1422,0
1423,0.333333333
1424,0
1425,0
1426,0
1427,0
1428,0
1429,0.115384615
1430,0.166666667
1431,0
1432,0
1433,
1434,1.428571429
1435,0
1436,
1437,1.5
1438,
1439,0
1440,0
1441,0
1442,0.4
1443,0
1444,0.125
1445,0.166666667
1446,0.333333333
1447,0
1448,0
1449,0
1450,0
1451,0.545454545
1452,0
1453,0
1454,0
1455,0
1456,0
1457,0
1458,1.714285714
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0.5
1465,0
1466,0.03125
1467,1
1468,0
1469,0
1470,0
1471,0
1472,0
1473,0
1474,0.217391304
1475,0
1476,0
1477,0.125
1478,1.538461538
1479,0.058823529
1480,0
1481,inf
1482,0
1483,1
1484,0
1485,1.5
1486,0
1487,0.071428571
1488,0.125
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0
1495,0
1496,0.285714286
1497,
1498,0
1499,0.2
1500,
1501,0
1502,0
1503,0
1504,0
1505,
1506,0
1507,2
1508,inf
1509,1
1510,0
1511,0.111111111
1512,0.1
1513,0
1514,0
1515,inf
1516,0
1517,0.666666667
1518,0.2
1519,0
1520,0.4
1521,
1522,0
1523,0.2
1524,0
1525,0
1526,0
1527,1
1528,0.571428571
1529,0.157894737
1530,0
1531,0.05
1532,0
1533,0
1534,0
1535,
1536,0.1
1537,0
1538,inf
1539,
1540,0
1541,
1542,0
1543,0
1544,0
1545,0
1546,0.913043478
1547,0
1548,
1549,
1550,0
1551,0.111111111
1552,
1553,0.01
1554,0
1555,1
1556,0
1557,0
1558,0
1559,0
1560,0
1561,0.411764706
1562,0.25
1563,0
1564,0
1565,1.5
1566,0
1567,0
1568,0
1569,0
1570,0
1571,0
1572,0
1573,0
1574,0
1575,0
1576,5.5
1577,0
1578,0.428571429
1579,0.05
1580,0
1581,0
1582,
1583,0
1584,
1585,0.076923077
1586,0
1587,0
1588,0
1589,0
1590,0
1591,
1592,2
1593,1.25
1594,0.142857143
1595,0
1596,0
1597,0.375
1598,0
1599,0
1600,
1601,0
1602,0
1603,0
1604,0
1605,0
1606,0
1607,0
1608,0
1609,0.038461538
1610,0
1611,2
1612,0
1613,6.5
1614,0
1615,0
1616,0
1617,0
1618,0.25
1619,0
1620,inf
1621,0
1622,0
1623,1
1624,
1625,
1626,
1627,
1628,0.285714286
1629,0
1630,0.555555556
1631,0
1632,0.5
1633,0.333333333
1634,0
1635,0
1636,0.333333333
1637,1
1638,0.142857143
1639,0
1640,0
1641,0
1642,0
1643,0
1644,0.222222222
1645,0
1646,
1647,0
1648,1
1649,0
1650,0
1651,0
1652,1
1653,0
1654,0
1655,4.333333333
1656,1
1657,0.2
1658,0
1659,0.058823529
1660,0.05
1661,inf
1662,0
1663,0
1664,0
1665,0
1666,1
1667,0
1668,0
1669,0
1670,0
1671,0
1672,inf
1673,0
1674,0
1675,1
1676,0
1677,0
1678,0
1679,0
1680,0
1681,inf
1682,0
1683,0
1684,0
1685,0.136363636
1686,0.8
1687,0
1688,0.013333333
1689,
1690,0.142857143
1691,0
1692,0
1693,0.272727273
1694,1
1695,0
1696,0
1697,0.4
1698,0
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0.047619048
1705,0.04
1706,0
1707,0
1708,0
1709,0.5
1710,0
1711,0.666666667
1712,0
1713,0
1714,0
1715,0
1716,0
1717,0
1718,0
1719,0
1720,inf
1721,0.5
1722,0
1723,0.428571429
1724,6
1725,0
1726,0
1727,2
1728,0
1729,0
1730,0.217391304
1731,0.142857143
1732,0
1733,0.333333333
1734,0.4375
1735,0
1736,
1737,0
1738,0
1739,0
1740,0
1741,0.117647059
1742,
1743,0
1744,0
1745,0
1746,0
1747,0
1748,0
1749,
1750,0
1751,0.166666667
1752,0.5
1753,0.266666667
1754,0
1755,0
1756,0
1757,0.5
1758,0.5
1759,
1760,0
1761,0
1762,0
1763,0
1764,0
1765,0
1766,0
1767,0.285714286
1768,0
1769,0
1770,1
1771,0.111111111
1772,inf
1773,0
1774,0.222222222
1775,1
1776,
1777,0
1778,0
1779,0
1780,0
1781,0
1782,1
1783,0.058823529
1784,
1785,4
1786,0.5
1787,0
1788,0.5
1789,0
1790,0
1791,0
1792,0
1793,0
1794,0
1795,0
1796,0.333333333
1797,
1798,0
1799,0
1800,0.333333333
1801,0
1802,0
1803,1
1804,0.125
1805,
1806,2
1807,0.333333333
1808,0.6
1809,0.5
1810,0
1811,0
1812,inf
1813,0
1814,0
1815,2
1816,0
1817,0
1818,15
1819,0
1820,0
1821,inf
1822,0.5
1823,0.5
1824,0
1825,0
1826,3
1827,0
1828,1
1829,0.008695652
1830,0
1831,0
1832,4
1833,0
1834,
1835,0
1836,0
1837,
1838,0
1839,0
1840,0
1841,0.2
1842,0
1843,1.333333333
1844,0
1845,0
1846,
1847,0.05
1848,0
1849,1.333333333
1850,0
1851,0.25
1852,0
1853,0
1854,1
1855,3
1856,2
1857,
1858,0.076923077
1859,0.333333333
1860,0
1861,inf
1862,0.152173913
1863,0.233333333
1864,
1865,0.833333333
1866,0
1867,0
1868,0.2
1869,0
1870,1
1871,0
1872,0.285714286
1873,0
1874,0
1875,5
1876,0.8
1877,0
1878,0
1879,0
1880,
1881,0
1882,0
1883,0
1884,0
1885,
1886,
1887,0
1888,0.666666667
1889,0
1890,0.714285714
1891,0.52173913
1892,0
1893,
1894,0
1895,0
1896,0
1897,0
1898,0.066666667
1899,0
1900,0.75
1901,0
1902,0
1903,0
1904,inf
1905,0.272727273
1906,0
1907,0.5
1908,0.4
1909,0
1910,0
1911,
1912,0.2
1913,0.166666667
1914,0.25
1915,0
1916,0
1917,0
1918,2
1919,0
1920,0
1921,0
1922,0.125
1923,0
1924,inf
1925,2.5
1926,0
1927,0.0625
1928,
1929,1
1930,inf
1931,0
1932,0.428571429
1933,0.25
1934,0
1935,0
1936,0
1937,1
1938,0
1939,0.5
1940,4.333333333
1941,0
1942,0
1943,0
1944,1
1945,2.5
1946,0
1947,
1948,0.083333333
1949,0.25
1950,0
1951,
1952,0.125
1953,0.142857143
1954,0
1955,0.03125
1956,1
1957,0
1958,0
1959,0
1960,0
1961,inf
1962,0.133333333
1963,1.095238095
1964,0.037037037
1965,0
1966,0
1967,0.608695652
1968,
1969,2
1970,0.333333333
1971,0
1972,0
1973,0
1974,0.5
1975,0.2
1976,
1977,0
1978,0.7
1979,2.375
1980,0.333333333
1981,0.5
1982,0.2
1983,0
1984,inf
1985,0
1986,0
1987,0.315789474
1988,0.090909091
1989,
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0.333333333
1999,0
2000,0
2001,0
2002,inf
2003,inf
2004,0.166666667
2005,0
2006,0
2007,0
2008,0.666666667
2009,0
2010,0
2011,0.133333333
2012,0
2013,0.25
2014,5
2015,0
2016,1
2017,0
2018,0
2019,0.055555556
2020,1.5
2021,0
2022,0.333333333
2023,0.333333333
2024,0.75
2025,0
2026,3
2027,0
2028,0
2029,0.05
2030,0
2031,0
2032,0.2
2033,0
2034,0.3
2035,0.5
2036,0
2037,0.083333333
2038,0.545454545
2039,0.222222222
2040,0
2041,0
2042,inf
2043,0
2044,0
2045,0
2046,0
2047,0.434782609
2048,0.25
2049,0
2050,0
2051,0
2052,1.5
2053,0
2054,0.166666667
2055,0.714285714
2056,0
2057,
2058,0
2059,0
2060,0
2061,0.666666667
2062,0
2063,0.666666667
2064,1.625
2065,0.142857143
2066,inf
2067,0
2068,0
2069,6
2070,0
2071,
2072,0.108108108
2073,0
2074,0.076923077
2075,0
2076,0.692307692
2077,0
2078,6
2079,0
2080,inf
2081,0.142857143
2082,0
2083,0
2084,0.1
2085,0
2086,0
2087,0.25
2088,4
2089,0
2090,0
2091,0
2092,0.454545455
2093,0
2094,inf
2095,4.857142857
2096,0
2097,0
2098,0.090909091
2099,0.25
2100,0
2101,0
2102,0
2103,
2104,0.333333333
2105,0.125
2106,1
2107,0
2108,inf
2109,
2110,0
2111,0
2112,0
2113,0
2114,0
2115,0
2116,0.29787234
2117,0.142857143
2118,0.3
2119,0.25
2120,0
2121,1
2122,0
2123,0
2124,1
2125,0
2126,0
2127,0
2128,0.25
2129,0
2130,0
2131,0.833333333
2132,0
2133,0.5
2134,0.259259259
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0.071428571
2141,3
2142,0
2143,0.25
2144,0
2145,0.142857143
2146,0
2147,0.058823529
2148,0
2149,
2150,0
2151,
2152,0
2153,0
2154,0
2155,0
2156,0.035714286
2157,1.266666667
2158,0
2159,
2160,1.666666667
2161,0
2162,inf
2163,0.5
2164,0
2165,0
2166,0
2167,0
2168,0
2169,
2170,0
2171,0
2172,0
2173,0
2174,0
2175,0.285714286
2176,0.5
2177,
2178,0.090909091
2179,1.25
2180,0
2181,
2182,0
2183,
2184,0.035714286
2185,0.3
2186,0
2187,0.2
2188,0
2189,0.2
2190,0.35483871
2191,0
2192,0
2193,0
2194,0
2195,1
2196,0
2197,0
2198,3.8
2199,0
2200,0.1
2201,0
2202,0
2203,0
2204,0
2205,0
2206,1.666666667
2207,0
2208,1
2209,0
2210,
2211,0
2212,0.2
2213,inf
2214,0
2215,0
2216,
2217,0
2218,0
2219,0
2220,0.222222222
2221,1.736842105
2222,0
2223,0
2224,0
2225,0
2226,0
2227,0.518518519
2228,
2229,0
2230,0
2231,0.076923077
2232,0
2233,0
2234,0.25
2235,0.12
2236,0
2237,0
2238,0
2239,0
2240,0
2241,0
2242,0
2243,0
2244,0
2245,0.045454545
2246,0
2247,1.833333333
2248,0
2249,0
2250,2
2251,0
2252,0
2253,0.5
2254,0
2255,0
2256,0
2257,0
2258,
2259,0
2260,0
2261,0.25
2262,
2263,0.066666667
2264,
2265,0.25
2266,0
2267,0
2268,0
2269,0.733333333
2270,0.111111111
2271,0
2272,0.111111111
2273,0
2274,0
2275,0
2276,0.125
2277,0.176470588
2278,1.125
2279,0.6
2280,0
2281,0.058823529
2282,0
2283,
2284,0
2285,0
2286,0
2287,0
2288,0.866666667
2289,0
2290,0
2291,0.125
2292,0
2293,0
2294,0
2295,1.25
2296,0.777777778
2297,0
2298,0
2299,0
2300,0
2301,0.578947368
2302,2.5
2303,
2304,0
2305,
2306,0
2307,0.176470588
2308,2
2309,0
2310,0.388888889
2311,0.666666667
2312,0
2313,0.333333333
2314,0.0625
2315,0.111111111
2316,0
2317,0
2318,0.5
2319,0.1
2320,0
2321,0.166666667
2322,0
2323,inf
2324,0
2325,0
2326,0
2327,0
2328,0
2329,0
2330,0.2
2331,0.214285714
2332,0
2333,0.5
2334,0
2335,0.6
2336,2
2337,
2338,1
2339,0
2340,
2341,
2342,3
2343,0
2344,
2345,0
2346,0
2347,0
2348,0.25
2349,0
2350,0
2351,0.777777778
2352,0
2353,1
2354,4
2355,0
2356,0
2357,
2358,inf
2359,0
2360,0
2361,1
2362,0.25
2363,1.1
2364,0
2365,0
2366,0
2367,0.5
2368,0.230769231
2369,0
2370,0
2371,0
2372,0
2373,0
2374,2.5
2375,0
2376,0
2377,0
2378,0
2379,0
2380,0
2381,0.076923077
2382,1.333333333
2383,2
2384,0
2385,0
2386,0
2387,0
2388,0
2389,0
2390,
2391,2
2392,0
2393,0
2394,0
2395,0
2396,0
2397,0
2398,0
2399,0
2400,0
2401,0
2402,0
2403,0
2404,0.107142857
2405,0
2406,0
2407,0.666666667
2408,0
2409,0.5
2410,0
2411,0
2412,
2413,0
2414,0.666666667
2415,0
2416,4.333333333
2417,1
2418,0.230769231
2419,inf
2420,0
2421,0
2422,0
2423,0
2424,0.0625
2425,0
2426,0
2427,8.5
2428,0.066666667
2429,0
2430,0
2431,0
2432,0
2433,0
2434,0
2435,0
2436,
2437,0.125
2438,0.111111111
2439,
2440,0
2441,0.285714286
2442,0
2443,0
2444,0.941176471
2445,1.666666667
2446,0
2447,
2448,0
2449,0
2450,0
2451,0.030769231
2452,0.111111111
2453,0
2454,
2455,1
2456,0
2457,0
2458,0.181818182
2459,0
2460,6
2461,0
2462,
2463,0
2464,2.5
2465,0
2466,0
2467,
2468,0
2469,
2470,0.652173913
2471,1
2472,0
2473,0
2474,5
2475,0
2476,1
2477,0
2478,0
2479,0
2480,2
2481,0
2482,0
2483,1.166666667
2484,0.185185185
2485,2.5
2486,0
2487,0.5
2488,
2489,0
2490,4
2491,3
2492,0.125
2493,
2494,0
2495,0
2496,0
2497,0
2498,0.5
2499,0
2500,0.666666667
2501,0.055555556
2502,0
2503,0
2504,0
2505,0
2506,0.222222222
2507,0
2508,0
2509,0.037037037
2510,0
2511,0
2512,0
2513,0
2514,
2515,0
2516,0
2517,0.058823529
2518,0.5
2519,inf
2520,1.5
2521,0.25
2522,0
2523,0
2524,0
2525,0
2526,1
2527,0
2528,0
2529,0
2530,0
2531,inf
2532,0.230769231
2533,0
2534,0
2535,0
2536,0
2537,
2538,4
2539,0
2540,0
2541,0
2542,1
2543,0
2544,0
2545,0.111111111
2546,14.5
2547,0
2548,0
2549,
2550,0
2551,inf
2552,0.666666667
2553,0
2554,2
2555,0.5
2556,0
2557,0
2558,0.125
2559,0
2560,2
2561,0
2562,0.5
2563,0
2564,0
2565,
2566,0
2567,0
2568,0
2569,0
2570,0
2571,0
2572,0
2573,0.086956522
2574,0
2575,0
2576,0
2577,0
2578,0
2579,1.4
2580,0
2581,2.444444444
2582,1.2
2583,0.2
2584,0.4
2585,1.2
2586,0.333333333
2587,0
2588,0
2589,1.666666667
2590,3
2591,0.25
2592,1.5
2593,0
2594,0
2595,0
